Donor Agency,Project Title,Aid Modality,Type Of Assistance,Primary Sector,Implementing Agency,Date of Agreement Signed,Date of Agreement Effective,Date of Planned Completion,Type of PIU,Status,AMP ID,Cumulative Commitment,Cumulative Disbursement,2007 Q1 Actual Disbursements,2007 Q2 Actual Disbursements,2007 Q3 Actual Disbursements,2007 Q4 Actual Disbursements,2008 Q1 Actual Disbursements,2008 Q2 Actual Disbursements,2008 Q3 Actual Disbursements,2008 Q4 Actual Disbursements,2009 Q1 Actual Disbursements,2009 Q2 Actual Disbursements,2009 Q3 Actual Disbursements,2009 Q4 Actual Disbursements,2010 Q1 Actual Disbursements,2010 Q2 Actual Disbursements,2010 Q3 Actual Disbursements,2010 Q4 Actual Disbursements,2011 Q1 Actual Disbursements,2011 Q2 Actual Disbursements,2011 Q3 Actual Disbursements,2011 Q4 Actual Disbursements,Total Actual Disbursements
African Development Bank,Skills Development and income Generation Project,Direct Project Support,Loan,"GENDER, YOUTH DEVELOPMENT AND SPORTS","Ministry of Gender, Children and Community Development",05/08/2002,06/01/2003,31/12/2008,Parallel,Closed,872261299848,13499569.96,14462290.79, ,1041976.16,1522452.34,92960.166,2219101.188,123348.985,1009148.691,1794131.005,241312.849, , , , , , , , , , , ,8044431.387
African Development Bank,Poverty reduction support and institutional support project,Direct Project Support," - Grant
 - Loan",ECONOMIC GOVERNANCE,Ministry of Local Government and Rural Development,30/06/2006,,,None,Closed,872261299824,11975380.5,6370993.137,1377324.52, , , , , , , , , , , , , , , , , , , ,1377324.52
African Development Bank,Macadamia Smallholder development project,Direct Project Support,Loan,AGRICULTURE,Ministry of Local Government and Rural Development,13/01/1999,01/11/2000,30/06/2008,None,Closed,872261299818,8552813.938,9381049.111,484829.482,590981.81,278342.518,145442.179,701495.711,20481.891, ,2650812.606, , , , , , , , , , , , ,4872386.199
African Development Bank,Integrated water supply and sanitation for central and northern region,Direct Project Support," - Grant
 - Loan","WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,05/08/2002,18/12/2003,31/12/2007,None,Closed,872261299791,13967180.95,13012899,2157103.37,1690574.802,95319.565,250615.272,1485810.299,91053.581,150388.104,1365672.794, , , , , , , , , , , , ,7286537.79
African Development Bank,Horticulture and Food Crops Development Project,Direct Project Support," - Grant
 - Loan","WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,24/05/1999,01/02/2000,30/12/2006,None,Closed,872261299768,10178430.21,9448791.488,123378.962, ,1060171.718,54036.351,585110.133,66859.076,433552.264,1509440.753, , , , , , , , , , , , ,3832549.261
Arab Bank for Economic Development in Africa,Construction of the Thyolo -Makwasa-Bangula Road,Direct Project Support,Loan,"ROADS, PUBLIC WORKS AND TRANSPORT","Minstry of Transport, Public Works and Infrastructure",13/05/2008,13/05/2008,30/06/2011,Embedded,Ongoing,8722613710355,10000000,2409733, , , , , , , , , , , , , , , , , ,1500000, , ,1500000
Arab Bank for Economic Development in Africa,Small Farms Irrigation Project -phase I & II,Direct Project Support,Loan,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,13/07/2012,01/03/2002,31/12/2005,Embedded,Ongoing,8722613710356,28000000,10189691, , , , , , , , , ,125898, ,3000000, ,5000000,846590,266415,120085,830703, , ,10189691
Arab Bank for Economic Development in Africa,Construction of Phalombe District Hospital,Direct Project Support,Loan,"ROADS, PUBLIC WORKS AND TRANSPORT","Minstry of Transport, Public Works and Infrastructure",,,,None,Ongoing,8722624010921,0,1000000, , , , , , , , , , , , , , , , ,1000000, , , ,1000000
Arab Bank for Economic Development in Africa,Construction of the Zomba-Jali-Phalombe-Chitakale Road,Direct Project Support,Loan,"ROADS, PUBLIC WORKS AND TRANSPORT","Minstry of Transport, Public Works and Infrastructure",13/04/2006,13/07/2006,30/04/2009,None,Ongoing,8722613710352,10000000,3430490, , , , , , ,656434, , , , , , , , , , ,2774056, , ,3430490
Arab Bank for Economic Development in Africa,Rehabilitation of the Kamuzu International Airport Runway,Direct Project Support,Loan,"ROADS, PUBLIC WORKS AND TRANSPORT","Minstry of Transport, Public Works and Infrastructure",08/12/2004,01/07/2004,30/06/2007,None,Ongoing,8722613710346,6400000,9523841, , , , , , , , , ,1881365,591251,451419,616989,3853396, , , ,1667407, , ,9061827
Australian Agency for International Development,National Water Development Program - AusAID,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,01/12/2010,01/12/2010,31/12/2013,None,Closed,8722614410795,14000000,14000000, , , , , , , , , , , , , , ,1500000, , , ,2000000, ,3500000
Canada,Initial Primary Teacher Education II,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",20/03/2011,,21/03/2014,None,Ongoing,8722615410859,6141448.697,4324242.476, , , , , , , , , , , , , , ,1023574.782, , , , , ,1023574.782
Canada,NAC Pooled Funding,Sector Support - NAC," - Grant
 - Loan",HEALTH,"Nutrition, HIV and AIDS and National AIDS Commission",01/07/2003,01/07/2003,31/03/2009,None,Ongoing,872261149886,11347045.61,11753232.24, , , , ,49411.375, , , , , , , , , , , , , , , ,49411.375
Canada,PSU Transition Project,Direct Project Support,Grant,ECONOMIC GOVERNANCE,Canadian International Development Agency,01/09/2011,01/09/2011,31/03/2013,NGO,Ongoing,8722617610939,1436760.986,1066175.774, , , , , , , , , , , , , , , , ,388704.088,48594.821, ,10691.222,447990.132
Canada,Maziko-Nutrition Foundation,Direct Project Support,Grant,HEALTH,CARE,13/11/2011,,31/10/2015,NGO,Ongoing,8722617610940,6358009.84,5273169.128, , , , , , , , , , , , , , , , , , ,1499366.416, ,1499366.416
Canada,Canada Funds for Local Initiatives,Direct Project Support,Grant,INTEGRATED RURAL DEVELOPMENT,Canada,,,31/03/2011,NGO,Closed,8722612910109,530814.793,1046983.971, ,55634.617, ,135628.329,129913.076, , , ,122363.62, , , ,132858.144, , , ,105697.402,13122.573,2357.015, ,697574.779
Canada,Community Management of Severe Malnutrition,Direct Project Support,Grant,HEALTH,Ministry of Health,30/03/2010,01/04/2010,31/12/2012,None,Ongoing,8722612610622,0,6924629.172, , , , , , , , , , ,2929398.948, , , ,1314302.371, , , ,1269890.811, ,5513592.131
Canada,Community Water and Sanitation Health,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,24/06/2000,,31/01/2008,None,Closed,8722612910091,9824818.756,9809204.893,33740.436, ,10281.021, ,140465.797,63661.525, , , , , , , , , , , , , , ,248148.78
Canada,Malawi Elections Assistance Project,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Electoral Commission,13/11/2008,,30/09/2009,None,Closed,8722612210289,410981.423,405844.155, , , , , ,405844.155, , , , , , , , , , , , , , ,405844.155
Canada,Policy and Programme Development Initiative,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Canada,01/07/2004,01/07/2004,31/12/2008,NGO,Closed,8722612110237,378234.853,96477.105,15672.67,6530.975,0,0, , , , , , , , , , , , , , , , ,22203.646
Canada,Programme Support Unit Phase 4,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Canada,11/03/2008,01/03/2008,31/08/2011,NGO,Closed,8722612210174,3319842.053,2519110.291, , ,282277.854,16452.949,164527.588,205263.798,466652.421,41434.287,203398.593,144797.129,485122.306,59009.671,25240.926,15628.238,250157.07,16269.721,142877.733, , , ,2519110.291
Canada,Policy & Program Development Initiative Phase II,Direct Project Support,Grant,ECONOMIC GOVERNANCE,Canada,,01/04/2008,31/03/2009,NGO,Closed,8722612210172,500300.18,219998.893, , ,49475.559, , ,35714.285,38778.094,890.075,8543.205,39622.967, ,1219.625, , , , ,6706.461,34489.709,4558.908, ,219998.893
Canada,Initial Primary Teacher Education,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",11/05/2007,01/07/2006,31/03/2010,None,Closed,8722612210171,4437069.049,3851570.106,475217.411, , ,493193.923,472411.186,926530.844,704336.815,407166.123, , , , , , , , , , , , ,3478856.305
Canada,Improving quality of Primary Education,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",25/01/2007,01/07/2007,31/03/2009,None,Closed,8722612210166,7403751.233,6521711.608,1425652.235, ,1484266.772, , , ,3363406.141, , ,248386.458, , , , , , , , , , ,6521711.608
Canada,Policy & Program Development Initiative,Direct Project Support,Technical Assistance,ECONOMIC GOVERNANCE,Canada,,01/07/2004,31/03/2008,NGO,Closed,8722612210162,378234.853,97477.492,16007.999,6370.38, , , ,827.922, , , , , , , , , , , , , , ,23206.301
Canada,Programme Support Unit Phase 3,Direct Project Support,Grant,ECONOMIC GOVERNANCE,Canada,14/10/2004,14/10/2004,31/03/2009,NGO,Closed,8722612210159,3425417.306,3158303.751,183158.294,133547.653,101553.532,44298.678,29830.876,29952.922, , , , , , , , , , , , , , ,522341.958
Canada,Grant Support Ed Sector Phase II GSES II,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",18/11/2004,,17/09/2010,None,Closed,8722612210155,17748276.2,13878159.79,214218.504,694869.615,833128.834,79001.775,255371.315,711340.909,781910.414, ,526555.13,1365821.767,1461800.512,5973.675,327345.733,412835.045,207079.687,78122.298,95543.54, ,9774.436, ,8060693.197
Canada,Gender equality support project,Direct Project Support,Grant,"GENDER, YOUTH DEVELOPMENT AND SPORTS","Ministry of Gender, Children and Community Development",14/02/2003,,30/04/2009,None,Closed,8722612910116,2367733.507,2446567.555,222705.887,288092.922,48189.194, ,111795.162,25745.941,12647.989,37127.725,2892.231, , , , , , , , , , , ,749197.055
Canada,Project for Economic Governance,Direct Project Support,Grant,ECONOMIC GOVERNANCE, ,01/02/2003,,30/04/2009,NGO,Closed,8722612910102,2723290.945,3030250.894,153364.064,350488.876,452759.746,5918.327,291137.566,20089.285,181445.077, , , , , , , , , , , , , ,1455202.943
Canada,Secondary School Teachers Education Project,Direct Project Support,Grant,EDUCATION, ,,,,None,Closed,8722612910099,5551110.385,1640083.814, , ,38203.047, , , , , , , , , , , , , , , , , ,38203.047
Canada,Government Assistance Project,Direct Project Support,Grant,PUBLIC ADMINISTRATION,Office of the President and Cabinet,05/06/2001,,30/06/2009,None,Closed,8722612910082,6052267.22,6232249.224,180582.616,288093.946,271720.759,166561.451,119045.729,178301.948,392424.817,64572.859, , , , , , , , , , , , ,1661304.129
Centers for Disease Control and Prevention,Supporting the provision of safe & adequate supply of Blood & Blood products to District level Hospitals,Direct Project Support,Grant,HEALTH,Malawi Blood Transfusion Service,06/10/2006,01/09/2006,29/09/2011,NGO,Closed,8722612610659,0,1990000, ,250000, , ,200000, , , , ,150000,250000, , ,1140000, , , , , , ,1990000
Centers for Disease Control and Prevention,Building human and institutional capacity in training and strategic information (I-TECH),Direct Project Support,Grant,HEALTH,International Training and Education Center for Health (I-TECH),01/04/2012,01/04/2012,01/04/2017,Parallel,Ongoing,8722612611046,0,15763850, , , , , , , , , , ,1750000, , ,1750000, , , ,2550000, , ,6050000
Centers for Disease Control and Prevention,Strengthening expanded HIV/AIDS Counseling & Testing services in Malawi (MACRO),Direct Project Support,Grant,HEALTH,Malawi AIDS Counselling & Resource Organisation(MACRO),10/10/2008,30/09/2008,29/09/2013,NGO,Ongoing,8722612610664,0,2710000, , , , ,200000, , , , ,200000,150000, , ,600000, ,130000,830000, , , ,2110000
Centers for Disease Control and Prevention,Improving the delivery & management HIV/AIDS care through appropriate medical informatics,Direct Project Support,Grant,HEALTH,Baobab Health Trust,01/10/2007,30/09/2007,29/09/2012,NGO,Closed,8722612610657,0,5299881,124884, , , ,349997, , , , ,200000,800000, , ,2325000, , ,1500000, , , ,5299881
Centers for Disease Control and Prevention,Strengthening of TB/HIV Services in Malawi,Direct Project Support,Grant,HEALTH,Ministry of Health,30/09/2008,30/09/2008,29/09/2010,Parallel,Closed,8722617610958,0,200000, , , , ,200000, , , , , , , , , , , , , , , ,200000
Centers for Disease Control and Prevention,Enhancement of HIV reference Laboratory program and HIV/AIDS survaillance activities,Direct Project Support,Grant,HEALTH,Ministry of Health,01/09/2008,15/09/2008,29/09/2010,None,Closed,8722617610957,0,150000, , , , ,150000, , , , , , , , , , , , , , , ,150000
Centers for Disease Control and Prevention,HIV Care & Treatment Integrated Programs for comprehensive Care,Direct Project Support,Grant,HEALTH,Lighthouse Trust,01/10/2007,30/09/2007,29/09/2012,NGO,Closed,8722612610662,0,2797000, , , , ,300000, , , , ,300000,97000, , ,900000, , ,1200000, , , ,2797000
Centers for Disease Control and Prevention,Coordination of HIV/AIDS Activities in Malawi,Direct Project Support,Grant,HEALTH,"Nutrition, HIV and AIDS and National AIDS Commission",06/10/2006,30/09/2006,29/09/2011,None,Closed,8722612610660,0,3600000, , , , ,300000, , , , ,300000,1100000, , ,900000, , ,1000000, , , ,3600000
Department for International Development,NAC Pooled Funding,Sector Support - NAC," - Grant
 - Loan",HEALTH,"Nutrition, HIV and AIDS and National AIDS Commission",01/07/2003,01/07/2003,31/03/2009,None,Ongoing,872261149886,40174643.62,11920608.73, , ,4008819.402, , ,3381234.15, , , , , , , , , , , , , , ,7390053.553
Department for International Development,Support to national AIDS Response (FA),Sector Support - NAC,Grant,HEALTH,"Nutrition, HIV and AIDS and National AIDS Commission",01/03/2008,01/03/2008,31/03/2011,None,Closed,8722615310492,24854680.3,32558141.51, , , , ,3978516.013, , , , ,6797216.378, , ,6536627.853, , , , , , ,8003841.844,25316202.09
Department for International Development,Inputs and Maize Market (FA) - previous name was Agriculture Inputs Subsidy (FA),Farm Input Subisdy Program - Discrete,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/12/2007,01/01/2008,31/12/2011,None,Closed,872261299923,39162646.1,30711464.31, , ,7492028.305,145294.624,842667.594, , ,6375109.567,277279.399,19511.523,3616816.215,2641858.969, ,8849224.661,365094.5, , ,86578.95, , ,30711464.31
Department for International Development,Agriculture Inputs Subsidy,Farm Input Subsidy Program - Pooled,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/09/2006,27/09/2011,30/08/2008,None,Ongoing,872261229938,44686642.48,84933107.96, , , , , , , , , , , , , , , , , ,30733803.52, , ,30733803.52
Department for International Development,Health SWAP Pooled Funding II and III," - Health SWAp - Discrete
 - Health SWAp - Pooled"," - Grant
 - Technical Assistance",HEALTH,Ministry of Health,25/05/2009,25/05/2009,23/03/2012,None,Ongoing,872261149882,162651582.2,214682733.7,15986976.71, ,16116528.36,6502094.395,6577113.586,14128977.74, , ,6550.318,18902950.91, ,97778.609, ,14254705.35,9684191.914,142557.002,93938.506,117537.293, ,15549994.27,118161895
Department for International Development,Malawi PRBS 2010/11,Budget Support,Grant,ECONOMIC GOVERNANCE,Ministry of Finance,,01/07/2010,,None,Closed,8722612610799,29957040.44,29644156.12, , , , , , , , , , , , , ,29644156.12, , , , , , ,29644156.12
Department for International Development,PRBS 2009/10 FY - 2010-11FY,Budget Support,Grant,ECONOMIC GOVERNANCE,Ministry of Finance,,01/07/2009,30/06/2011,None,Closed,8722611610393,46101423.13,29835885.48, , , , , , , , ,5746.207,85037.649,29745101.62, , , , , , , , , ,29835885.48
Department for International Development,Tikambirane (Support to Mec and Parliamnet (FA),Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,National Assembly,01/03/2003,01/03/2003,30/06/2008,None,Closed,872261269856,1935046.924,3321953.535,402333.534, ,601322.91, , , , ,898914.898,197445.767,588971.106,675686.388,23789.898,-36984.681, , , , , , , ,3351479.823
Department for International Development,Support to National Audit Office,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,National Audit Office,01/12/2009,08/12/2009,31/12/2012,None,Closed,8722612410563,0,1320906.039, , , , , , , , ,1304844.234, , , , , , , ,16061.804, , , ,1320906.039
Department for International Development,Education Sector Reform Programme (Education SWAp) - Pooled,Education SWAp - Pooled,Grant,EDUCATION,"Ministry of Education, Science and Technology",01/11/2009,01/01/2011,30/06/2013,Embedded,Ongoing,8722612610653,66220826.23,63358868.92, , , , , , , , , , , ,29330.216,10684236.52,4836678.104,2532048.658, ,13580900.73,6318771.488,2129647.515,731426.084,40843039.31
Department for International Development,Justice for Vulnerable Groups,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE, ,01/12/2011,01/12/2012,30/11/2016,NGO,Ongoing,8722617610994,25311515.14,2872833.916, , , , , , , , , , , , , , , , ,44914.065,2022617.863, ,614863.134,2682395.063
Department for International Development,Support to Family Planning,Direct Project Support,Grant,HEALTH,United Nations Population Fund,01/04/2011,14/12/2011,31/03/2015,None,Ongoing,8722617611038,40405023.18,1924124.223, , , , , , , , , , , , , , , , , , ,1924124.223, ,1924124.223
Department for International Development,Business Innovation Facility (BIF),Direct Project Support,Grant,"TRADE, INDUSTRY AND PRIVATE SECTOR DEVELOPMENT", ,,,,None,Closed,8722617610993,0,40309.538, , , , , , , , , , , , , , , , , , ,40309.538, ,40309.538
Department for International Development,Support to Banja La Mtsongolo,Direct Project Support,Grant,HEALTH,Department for International Development,01/11/2009,06/11/2009,30/06/2015,NGO,Ongoing,8722612410555,19684739.74,7565802.683, , , , , , , , , ,404596.212,782765.832,366924.856,780893.037,1878709.959,1419055.122,647590.7,636007.251,418478.653,230781.055, ,7565802.683
Department for International Development,Essential Medicines Malawi,Direct Project Support,Grant,HEALTH,United Nations Children's Fund,01/11/2011,25/11/2011,30/06/2013,NGO,Closed,8722617610995,15990.394,8750087.364, , , , , , , , , , , , , , , , , ,4928099.793,3711262.422,110725.148,8750087.364
Department for International Development,Malaw Energy Efficient Lighting Project,Direct Project Support,Grant,ENERGY AND MINING,Ministry of Energy and Mines,29/07/2010,24/02/2011,03/01/2013,None,Ongoing,8722612610801,4867882.478,4208248.019, , , , , , , , , , , , , ,49407.446,11326.867,22482.971,72622.372,380388.575,2053633.922, ,2589862.156
Department for International Development,EU Transport Adviser,Direct Project Support,Technical Assistance,"ROADS, PUBLIC WORKS AND TRANSPORT", ,01/04/2003,01/04/2003,01/11/2007,NGO,Closed,8722612410143,629554.432,460162.1,74749.637,37805.015,61929.109,46943.001,45570.425,17889.485, , , , , , , , , , , , , , ,284886.675
Department for International Development,TIP Logistical Unit,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/09/2004,01/09/2004,01/08/2005,None,Closed,872261269901,9949231.026,1203030.417,124990.182, , , , , , , , , , , , , , , , , , , ,124990.182
Department for International Development,Community Resilience to Disaster/Climate Risk,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",Department for International Development,22/10/2009,,30/06/2016,NGO,Closed,8722612610577,258941.576,2306916.399, , , , , , , , , , ,241017.607,1896.86,60109.001,5763.695,242217.04,75476.583,654027.634,830114.564,63942.642,88216.667,2262782.297
Department for International Development,Health Swap 2 Design,Health SWAp - Discrete,Grant,HEALTH,Ministry of Health,15/11/2010,15/02/2011,31/03/2016,None,Ongoing,8722612610803,399416.038,117834.57, , , , , , , , , , , , , , ,60596.945,22482.971, , , , ,83079.916
Department for International Development,Malawi Unpaved Roads Program (Design),Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT",World Bank,07/11/2011,,31/12/2012,None,Planned,8722617611037,163643.141,149267.08, , , , , , , , , , , , , , , , , , ,149267.08, ,149267.08
Department for International Development,Humanitarian Assistance to Support 2011 Malawi Vulnerability Assessment Results,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",World Food Programme,03/01/2012,11/01/2012,30/03/2012,None,Closed,8722617611036,467954.904,467954.904, , , , , , , , , , , , , , , , , , ,467954.904, ,467954.904
