Donor,Project Title,Objective,Project Description,Actual Start Date,Actual Completion Date,Financing Instrument,OECD/DAC Sectors,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,2015 Actual Commitments,Total Actual Commitments
China,Agreement on economic and technical cooperation between the Governement of the Republic of Moldova and the Government of the People's Republic of China (2014),Cooperation on the development of the Republic of Moldova.,Cooperation on the development of the Republic of Moldova.,04/12/2014,04/12/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,2640194.318,0,2640194.318
Council of Europe Development Bank,SOCIAL HOUSING II,"THE OBJECTIVE OF THE PROPOSED PROJECT IS TO IMPROVE AND INCREASE THE STOCK OF RENTAL HOUSING TO BENEFIT FAMILIES FROM SOCIALLY-VULNERABLE SEGMENTS OF THE POPULATION OF MOLDOVA. IN ACCORDANCE WITH STATE LEGISLATION, THE PROJECT AIMS TO COMPLETE SOME 15 UNFINISHED APARTMENT BLOCKS IN SELECTED MUNICIPALITIES, DELIVER SOME 700 SOCIAL DWELLINGS TO ACCOMMODATE SOME 2,500 PERSONS FROM POOR AND VULNERABLE FAMILIES CURRENTLY UNABLE TO ACCESS TO SATISFACTORY HOUSING CONDITIONS.","THE OBJECTIVE OF THE PROPOSED PROJECT IS TO IMPROVE AND INCREASE THE STOCK OF RENTAL HOUSING TO BENEFIT FAMILIES FROM SOCIALLY-VULNERABLE SEGMENTS OF THE POPULATION OF MOLDOVA. IN ACCORDANCE WITH STATE LEGISLATION, THE PROJECT AIMS TO COMPLETE SOME 15 UNFINISHED APARTMENT BLOCKS IN SELECTED MUNICIPALITIES, DELIVER SOME 700 SOCIAL DWELLINGS TO ACCOMMODATE SOME 2,500 PERSONS FROM POOR AND VULNERABLE FAMILIES CURRENTLY UNABLE TO ACCESS TO SATISFACTORY HOUSING CONDITIONS.SELECTED MUNICIPALITIES:SANGEREI, GLODENI, BASARABEASCA, CHISINAU, BRICENI, ANENII NOI, CEADIR-LUNGA, CALARA_I, HANCE_TI, SARATA, FALE_TI AND DROCHIA",16/06/2012,16/06/2018,Soft Loan,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,13400000,0,0,0,13400000
Council of Europe Development Bank,Framework Financial Agreement between the Government of the Republic of Moldova and Council of Europe Development Bank on Penitenciary Contruction Nr. 13,Construc_ia Penitenciarului Nr. 13 cu o capacitate de 1600 de detinuti.,,10/10/2013,30/06/2018," - Government Counterpart Funds
 - Soft Loan",150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,39000000,0,39000000
Council of Europe Development Bank,Technical support for the implementation of the 13 Penitentiary construction Project,"1) Support the Project Impelmenting Unit in project implementation, at the initial stages; 2) Build PIU's capacity to enable the team to continue implementation independently; 3) Support the PIU in prepearing project activities starting with construction works; 4) Help the PIU with construction supervision.","1) Support the Project Impelmenting Unit in project implementation, at the initial stages; 2) Build PIU's capacity to enable the team to continue implementation independently; 3) Support the PIU in prepearing project activities starting with construction works; 4) Help the PIU with construction supervision.",14/06/2014,30/06/2018,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,738225.306,0,0,738225.306
Czech Republic ,SUPPORT TO DEVELOPMENT OF HOME CARE SERVICES IN MOLDOVA 2011-2013,Contribute to improve the life quality of the people depending on the care of the others by strengthening the role and the quality of socio-medical care services within home and community environment,"The Homecare Association was founded in 2005 and it’s a non-profit organization, apolitical, nongovernmental and noncommercial, created with the purpose of rising public awareness on the problems of socially vulnerable people, taking into consideration and following the civil and social rights, legitimate freedom of the elders and invalids. The development of the project “Support of development of Homecare services in the Republic of Moldova 2008-2010” had a purpose to open 2 medico-social centers, in the town Cahul MSC “Avicena”, in the district Dubasari, village Dorotcaia MSC ”Hippocrates” for improving the life of those who are in need of help. The centers are to be given to the Local Public Administrations. As a continuity of collaboration with Czech Republic the Homecare Association is implementing the project “Support for development of Homecare Services in the Republic of Moldova 2011-2013” which had a goal to open the Theoretical-practical Center “ESTERA”.The activity of this center contributes to the improvement of life quality of those who depend on someone else’s support through consolidating their roles and offering quality socio-medical care services at home. The most important objectives of this project are the following: - Long-term increase in quality and accessibility of professional home care services- To strengthen Moldovan professional capacities in the area of home care service- Promotion of home care services as an equivalent to institutional social and health care.The project is financed by the Czech Development Agency and implemented by Homecare Association in collaboration with Caritas Czech Republic. Thank to these partners the project is considered to be one of the best in the Republic of Moldova. This is recognized not only by the relevant Ministries or state Institutions or NGOs from Moldova but also by the International Organizations. Within the project Homecare Association offers a large range of medico-social services both at home and in the Theoretical-Practical center “Estera” from the city Chisinau. The services are offered individually based on the bio-psycho-social needs of the beneficiaries and offering them opportunities of rehabilitation. Each beneficiary benefits of medico-social care services at home as well as in the Estera Center based on the referral from the family doctor.All the services are offered for free to the following category of the beneficiaries:- Persons that are bed/house dependents and who need special care;- Lonely persons that are socially vulnerably;- Person that have their income less than 10% of the minimum consumption dependent of bed/house or care giver of medical services.Besides all the services mentioned above, the Homecare Association offers different kind of trainings and consultations in the home care field to the following categories: medical assistances, social assistants and social workers, manager of medico-social projects, direct and indirect beneficiaries. The quality of consultancy services is highly appreciated and it is considered to be a great example to be followed in the medico-social field at home in the Republic of Moldova.",01/04/2013,31/03/2016,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,435765,0,0,435765
Czech Republic ,Remediation of sites contaminated with petroleum hydrocarbons in Lunga and Marculesti,The main objective is to improve the quality of the environment in the municipalities of Lunga and Marculesti. The short-term goal is avoidance of contamination of surface waters of the river Reut,"The project is focussed on the remediation of sites contaminated by petroleum products in the municipalities of Lunga and Marculesti. The main part of the project is a construction cleaning stations, construction of pumping wells, infiltration facilities and regular water sampling/monitoring in a wider area",21/08/2013,30/11/2015,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,154848.8,0,0,154848.8
Czech Republic ,Remediation of environmental burdens caused by pesticides in Moldova – II,The development objective of the project is to improve the environment and health situation of the population in Moldova through the reduction of negative impacts of old environmental burdens – remnants of obsolete pesticides deposited in the central district warehouses.,"Project activities include an inventory of pesticides, re-loading to UN approved containers, loading and transport to disposal of 250 tons of pesticides, including meeting all necessary legal requirements, clean-up of warehouses, assessment of the extent and the risks of residual pesticide contamination on sites. Pesticides will be removed (up to 250 tons) according to the sequence of following sites: Singerei (Singerei), Oniscani (Calara_i), Pelivan (Orhei), Papauti (Rezina).",01/03/2013,29/11/2015,Grant,400 - MULTISECTOR/CROSS-CUTTING,0,0,0,0,0,800000,0,0,800000
Czech Republic ,O lume de v_zut,To contribute to the broadening of democratic values and human rights in society in Moldova.,,01/01/2014,30/06/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,79238.15,0,79238.15
Czech Republic ,Support of fruit and vegetable production with added market value,df,,15/09/2014,30/11/2016,Grant,311 - AGRICULTURE,0,0,0,0,0,0,230000,0,230000
Czech Republic ,Elaboration and implementation of the Vine and Wine Register in the Republic of Moldova,The establishment of a fully operational and functioning wine and vine register,"The focus of this project is to help establish a wine and vine register aligned with the acquis communautaire that will enable the traceability of wine production within Moldova and help to open EU markets for winemakers. The project will also strengthen the position of consumers at the market. We cannot also omit the stabilization of the legal environment in the area, which should contribute to the inflow of foreign investments. Strengthening of public administration, especially in the area of control, will play an important role as well. Harmonization of legislation (the drafting of relevant legislation), optimization of the state administration in this field (the creation of the proposal of a new system including official controls) and changes of competencies belong among the most important activities of the project. The project includes practical training, workshops, study visits in Czech Republic for the beneficiaries. Key experts will transmit their knowledge, experience and best practices to the project beneficiaries through training, workshops and seminars.",01/04/2014,01/05/2017,Grant,311 - AGRICULTURE,0,0,0,0,0,0,794774.485,0,794774.485
Czech Republic ,Qualitative and quantitative survey of the drinking water resources in Southern Moldova,"Field survey and water sources recording in the South of Moldova (field teams, assigning unique codes to each water source, measurement of the basic parameters, etc.).","Field survey and water sources recording in the South of Moldova (field teams, assigning unique codes to each water source, measurement of the basic parameters, etc. Water is taken for the chemical and microbiological analyses to the certified laboratories.",25/04/2014,30/06/2016,Grant,140 - WATER AND SANITATION,0,0,0,0,0,0,895.63,0,895.63
Czech Republic ,DEVELOPMENT OF HOME CARE SERVICES IN THE NORTHERN MOLDOVA 2013-2015,Improvement of quality of life of people depending on assistance of others through ensuring availability and accessibility of professional medico-social care services in the North Moldova,"Population aging causes that the home care services have become a priority of the Moldovan society. Taking into account the constrains and neglect of elderly and disabled population in Moldova, Caritas Czech Republic in partnership with AO HOMECARE propose to make a significant step forward in bringing important positive changes in the home care agenda in Moldova. Through the specific objective 1 “Development and institutionalization of the professional and qualitative home care services in the Northern region of Moldova “, the project will build 2 Centers in Balti and Taul to provide medico-social care for 1250 patients during the project period and will provide facilitation and certified training for about 300 people (nurses, social assistants, governmental representatives, and NGO partners) in qualitative home care. During the activities aimed to increase a wide participation and community awareness, the project will serve the specific objective 2 “Increased awareness about the home care model as an integrated part of medico-social care system among stakeholders and professionals”. Pursuing realization of this objective, the project will also engage with government in developing policies and supporting a wide range of home care adaptations, according to the legal context of country. Project activities will enable older and disabled people who have lost the ability to fully care for themselves to continue living as long as possible in their own home and community, independently or with their families, so they can delay falling into greater dependency. Thus, the overall goal of the project is Improvement of quality of life of people depending on the help of other people through ensuring availability and accessibility of professional medico-social care services in the North Moldova. The impact of the project will be experienced by all members of the society and will be as follows: R1.1 Socio-medical community care services in Northern Moldova are expanded and available; R1.2 Increased capacities in provision and organization of quality home care services among the staff, volunteers and other key actors; R2.1 Functional network between NGOs and state institutions is established: joint action for lobby and advocacy; R2.2 Community members are aware and the home care system is promoted within Moldovan society.",01/04/2013,30/12/2015,Grant,120 - HEALTH,0,0,0,0,0,190000,78700,45000,313700
Czech Republic ,"Suport in dezvolarea serviciilor de ingrijire la domiciliu in Republica Moldova, 2014-2016",Improvement of quality of life of elderly and disabled people through ensuring availability and accessibility of professional social and primary health care service in the entire Moldova.,"Social assistance employees who work directly with recipients of social services become a direct target for new capacity building training. Thus the project is focused on strengthening professional capacities of social workers and other key stakeholders in the field of home care services, such like: social workers, social assistants, managers, medical workers, patients´ family members.",08/05/2014,31/12/2016,Grant,120 - HEALTH,0,0,0,0,0,0,102089.177,154049.393,256138.57
Czech Republic ,Technical and institutional support in the area of solid waste management in southern Moldova,"The project is realized to propose functional system of solid waste management in regions of Causeni, Leova, Cimislia, Besarabeasca and Stefan vody. During the project, activities leading to localization of a new dump sites and transfer stations for the waste will be suggested, based on geological survey. Feasibility study on system of waste collection will be finished. In the end of the project, design of the new dump sites will be composed. Also study of the impact on environment will be drawn up. Along the activities mentioned above, the awareness campaign among local school will be organized.","The project is realized to propose functional system of solid waste management in regions of Causeni, Leova, Cimislia, Besarabeasca and Stefan vody. During the project, activities leading to localization of a new dump sites and transfer stations for the waste will be suggested, based on geological survey. Feasibility study on system of waste collection will be finished. In the end of the project, design of the new dump sites will be composed. Also study of the impact on environment will be drawn up. Along the activities mentioned above, the awareness campaign among local school will be organized.",01/10/2013,30/06/2015,Grant,140 - WATER AND SANITATION,0,0,0,0,0,639792.899,0,0,639792.899
Czech Republic ,Sporirea calit__ii asisten_ei de reintegrare a migran_ilor moldoveni – crearea Centrului de Criza,,,01/09/2014,03/10/2016,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,0,170000,0,170000
Czech Republic ,THE NATO/PfP TRUST FUND PROJECT FOR THE DESTRUCTION OF THE PESTICIDES AND DANGEROUS CHEMICALS IN THE REPUBLIC OF MOLDOVA,The overall objective is to strengthen the security environment and public health in Moldova through safe management of ecologically and destruction of stockpiles of obsolete pesticides in agriculture.,"Difficult management of pesticides in the Soviet period left us a heritage of prints that will be felt over several years, practical in all sectors of development. Food safety, demographic security, environmental and economic security, securing fundamental human rights to live in a clean environment without waste pesticides - have become in the last years a national concern, that is met practically in all relevant plans, programs and national strategies. Performance strengthening the state security associated with the dissipation of pesticide wastes in the environment can be recorded only if the priority will be the elimination of all outbreaks and threats related to such wastes.",15/10/2013,15/10/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,61000,0,0,0,61000
Denmark,Inclusive Rural Economic and Climate Resilience Programme (IFAD VI),The overall objective of the Programme is to increase revenue and climate resilience of poor rural entrepreneurs.,The Programme aims to increase investment in the rural economy and climate adaptation capacity of disadvantaged groups of society.,01/10/2014,31/12/2019," - Grant
 - Loan",311 - AGRICULTURE,0,0,0,0,0,0,3660858.105,0,3660858.105
Denmark,RURAL FINANCIAL SERVICES AND AGRIBUSINESS DEVELOPMENT PROJECT (RFSADP) - IFAD 5,"THE OVERALL GOAL of the RFSADP is reduction of income poverty and malnutrition among poor rural people in Moldova.( to sustainably improve the assets and incomes of about 37,000 poor rural Moldovan beneficiaries).","The Project would contribute to establishing pro-poor market linkages for the rural poor through support for competitive commodity value chains, including market research and development, business development services and producer associations; and achieving international quality standards in production, processing and packaging; and promoting access to a full range of appropriate and mainstreamed financial services, with a particular emphasis on products that support the development of sustainably improved incomes for the most vulnerable and poorest groups in rural areas.",04/07/2011,03/07/2016," - Grant
 - Soft Loan",311 - AGRICULTURE,0,0,0,3628444.996,0,0,0,0,3628444.996
Denmark,Strengthening Technical Capacities of the National Institutions for the Human Rights Protection and Promotion,"Human rights protection and rule of law improvement, including effective national implementation of European and international instruments in the Republic of Moldova, and in-line with the national priorities, strategies and plans.","The overall objective of the project is to improve human rights protection and rule of law, including effective national implementation of European and international instruments in the Republic of Moldova, and in-line with the national priorities, strategies and plans. The project will seek to stregthen the capacities of public institutions, which have a mandate in the areas relating to human rights, criminal justice, governance and anti-corruption, in performing their key functions, and mainstreaming human rights based approach, equality, gender issues and inclusion in their work.",01/01/2015,31/12/2016,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,0,2416436,0,2416436
Denmark,JOINT INTEGRATED LOCAL DEVELOPMENT PROGRAMME (NEW PHASE 2013-2015),"The Overall Objective of the Programme is to support better and equitable service provision and sustainable local development, facilitated by improved legal and institutional framework resulting from the implementation of the National Decentralization Strategy","The new phase of the Programme targets two inter-related Components, as follows: Component 1: Policy Framework Support for the Implementation of the Decentralization Strategy Component 2: Viable models of operational LPAs supported-in line with the changes brought by the Decentralization Strategy Under Component 1, the Programme will support the Government in the implementation of fiscal decentralization policies, in improving the territorial-administrative structure of the country, and in clarifying the competences in key sectors for LPAs. In addition, the Programme will work to strengthen the capacity of the Government to carry out the reform by partnering with key local institutions like APA, CALM and CSOs. Under Component 2, the interventions at the local level will aim at developing models of operational local governments - ‘champions of change’ - by providing support to implement changes in the operation and structure of local governments in line with the changes brought by the Decentralization strategy. JILDP will assist LPAs in improving their capacity and operations, will support target communities and their local authorities to provide quality public services to achieve sustainable economic and social development, in the main areas affected by the Decentralization strategy.",01/01/2013,01/01/2016,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,3724703.051,0,0,3724703.051
Estonia ,"Development control centers, crisis management and solutions in information and communication technologies in Moldova","The overall objective is to develop capacities relevant subdivisions of MIA and police in public order and improve mutual cooperation between the two countries. The project will contribute to the development of ICT solutions and optimization, modernization crisis control centers, as well as improve the management of seizures in Moldova.",The project is a result of the visit of MAI in Estonia as well as the Estonian Delegation visits the country.,01/11/2013,31/10/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,90231,0,0,90231
Estonia ,Crearea unui sistem de instruire privind conducerea în situa_ii de urgen__ _i dezvoltarea sistemului de supraveghere a traficului în Republica Moldova,,,01/11/2013,31/10/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,95258,0,0,95258
Estonia ,THE NATO/PfP TRUST FUND PROJECT FOR THE DESTRUCTION OF THE PESTICIDES AND DANGEROUS CHEMICALS IN THE REPUBLIC OF MOLDOVA,The overall objective is to strengthen the security environment and public health in Moldova through safe management of ecologically and destruction of stockpiles of obsolete pesticides in agriculture.,"Difficult management of pesticides in the Soviet period left us a heritage of prints that will be felt over several years, practical in all sectors of development. Food safety, demographic security, environmental and economic security, securing fundamental human rights to live in a clean environment without waste pesticides - have become in the last years a national concern, that is met practically in all relevant plans, programs and national strategies. Performance strengthening the state security associated with the dissipation of pesticide wastes in the environment can be recorded only if the priority will be the elimination of all outbreaks and threats related to such wastes.",15/10/2013,15/10/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,30000,0,0,0,0,0,30000
European Bank for Reconstruction and Development ,Financing Agreement between EBRD and the RM on road rehabilitation project IV,Reabilitarea a circa 213 km de drum national,Reabilitarea a circa 213 km de drum national,28/06/2013,31/07/2017,Soft Loan,210 - TRANSPORT AND STORAGE,0,0,0,0,0,150000000,0,0,150000000
European Bank for Reconstruction and Development ,PROGRAMME FOR DEVELOPMENT OF WATER AND SANITATION COMPANIES IN MOLDOVA,"The general objective is to promote reform of the water/wastewater utilities, creating models of self sustainable operators providing services at acceptable standards. The selected utilities will be supported to expand their services beyond the municipal boundaries in order to ensure efficiency of investment and operation costs with affordable tariffs.","Construc_ia _i reabilitarea sistemelor de aprovizionare cu ap_ _i de canalizare în 6 localit__i: Flore_ti, Soroca, Orhei, Hînce_ti, Leova _i Ciadîr-Lunga care se angajeaz_: 1. s_ ajusteze tarifele _i s_ asigure rentabilitatea întreprinderilor de aprovizionare cu ap_ pentru a îmbun_t__i randamentul lor financiar _i opera_ional, precum _i viabilitatea lor financiar_ în general;2. s_ regionalizeze activitatea întreprinderilor men_ionate prin extinderea opera_iunilor acestora în localit__ile vecine selectate (astfel devenind Companii de Ap_).",16/06/2010,14/11/2015," - Grant
 - Soft Loan",140 - WATER AND SANITATION,0,0,10000000,0,0,0,0,0,10000000
European Bank for Reconstruction and Development ,Public transport modernization project in Balti,The project involves the modernization of public transport in Balti by purchasing 23 new trolleybuses,The project involves the modernization of public transport in Balti by purchasing 23 new trolleybuses,10/07/2013,10/07/2015," - Grant
 - Soft Loan",210 - TRANSPORT AND STORAGE,0,0,0,0,0,3000000,0,0,3000000
European Bank for Reconstruction and Development ,SUPPORT OF THE ECONOMIC COUNCIL,"The overall objective of the Economic Council is to facilitate the dialogue between the representatives of business community and Government in order to develop a non-discriminatory, transparent and favorable to investments business environment.","The Economic Council it is set up under the Prime Minister of the Republic of Moldova to act as an advisory body and a platform for a high level dialogue between the Government, authorities and business community. Was established according to Government Decision no. 631 of 22 August 2011 (as amended on 28 December 2012) with the support of the European Bank for the Reconstruction and Development. Its members bring together several groups of participants: state institutions, representatives of business associations, donors' representatives active in the field of private sector development, etc. In addition to the permanent members, depending on the meeting's agenda and topic/sector discussed, other experts, sector associations, state specialized institutions can be engaged in the Council's meetings. The daily activity of the Council it is coordinated by the Secretariat, which consists of economic, legal advisors and administrative assistant. The Secretariat develops the agenda, ensures preparation of the meetings, drafts proposals for the interventions, provides to the Prime Minister and Council's members summary views and recommendations on the subject discussed. Also, it steers the decisions implementation process, evaluates the results and assess the impact and effectiveness on the business environment, informs the public about the activity of the Economic Council, etc. The mandate of the Council is for 2 years and it ends on November 1st 2015. During this time it proposes to offer real solutions for existing problems in the economic sector of the state and to significantly improve business climate of the country.",30/11/2013,01/11/2015,Grant,250 - BUSINESS AND OTHER SERVICES,0,0,0,0,0,150245.832,162041.846,0,312287.679
