Project Title,Activity Created By,Activity Created On,Activity Updated By,Activity Updated On,AMP ID,SIAFI Code,Objective,Organizations and Project ID,Project Description,Executing Sector,Status,Actual Approval Date,Current Completion Date,Final Date for Contracting,Original Completion Date,Proposed Completion Date,Proposed Start Date,Mancomunidad,Implementation Level,Region,Zone,Donor Agency,Donor Commitment Date,Donor Group,Donor Type,Financing Instrument,Funding Organization Id,Type Of Assistance,Primary Sector,Primary Sector Sub-Sector,Primary Sector Sub-Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Tertiary Sector,Responsible Organization,Executing Agency,Beneficiary Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Secondary Program,Secondary Program Level 1,Secondary Program Level 2,Secondary Program Level 3,Secondary Program Level 4,2006 Actual Commitments,2006 Actual Disbursements,2006 Actual Expenditures,2006 Planned Commitments,2006 Planned Disbursements,2006 Planned Expenditures, 2007 Actual Commitments,2007 Actual Disbursements,2007 Actual Expenditures, 2007 Planned Commitments,2007 Planned Disbursements,2007 Planned Expenditures,2008 Actual Commitments,2008 Actual Disbursements,2008 Actual Expenditures,2008 Planned Commitments,2008 Planned Disbursements,2008 Planned Expenditures,2009 Actual Commitments,2009 Actual Disbursements,2009 Actual Expenditures,2009 Planned Commitments,2009 Planned Disbursements,2009 Planned Expenditures,2010 Actual Commitments,2010 Actual Disbursements,2010 Actual Expenditures,2010 Planned Commitments,2010 Planned Disbursements,2010 Planned Expenditures,2011 Actual Commitments,2011 Actual Disbursements,2011 Actual Expenditures,2011 Planned Commitments,2011 Planned Disbursements,2011 Planned Expenditures,2012 Actual Commitments,2012 Actual Disbursements,2012 Actual Expenditures,2012 Planned Commitments,2012 Planned Disbursements,2012 Planned Expenditures,2013 Actual Commitments,2013 Actual Disbursements,2013 Actual Expenditures,2013 Planned Commitments,2013 Planned Disbursements,2013 Planned Expenditures,2014 Actual Commitments,2014 Actual Disbursements,2014 Actual Expenditures,2014 Planned Commitments,2014 Planned Disbursements,2014 Planned Expenditures,Total Costs Actual Commitments,Total Costs Actual Disbursements,Total Costs Actual Expenditures,Total Costs Planned Commitments,Total Costs Planned Disbursements,Total Costs Planned Expenditures
  Supervivencia y Desarrollo Infantil,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC020,, ,YD707-07 (Fondo de las Naciones Unidas para la Infancia),,Sector Público,Finalizado,01/01/2011,31/12/2011,,31/12/2011,,01/01/2011, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2011,Naciones Unidas,Multilateral,Proyecto,YD707-07,Donación / No reembolsable,120 - SALUD,122 - Salud básica, ,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,14 - Protección Social,NIÑEZ,Fondo de las Naciones Unidas para la Infancia," - Registro Nacional de las Personas
 - Secretaría de Educación
 - Secretaría de Salud", ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social"," - Meta 1.1: Erradicar la pobreza extrema
 - Meta 1.3: Elevar la escolaridad promedio a 9 años", ,Plan de Nación,Salud como fundamento para la mejora de las condiciones de vida,Tasa de Mortalidad en menores 5 años, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161500,161500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161500,161500,0,0,0,0
  Reforma Legal,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC025,, ,YS709-02 (Fondo de las Naciones Unidas para la Infancia),,Sector Público,Finalizado,01/01/2011,31/12/2011,,31/12/2011,,01/01/2011, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2011,Naciones Unidas,Multilateral,Proyecto,YS709-02,Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general",15130 - Desarrollo legal y judicial,4 - FORTALECIMIENTO INSTITUCIONAL,43 - Defensa y Seguridad,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,Congreso Nacional, ,Visión de País,"Objetivo 2 - Una Honduras que se desarrolla en democracia, con seguridad y sin violencia",Meta 2.3: Reducir el Índice de Conflictividad Social a menos de 6, ,Plan de Nación,"Democracia, Ciudadanía y Gobernabilidad",Índice de Conflictividad Social, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,0,0,0
  Estrategia de la expansion de servicios de alfabetizacion y educacion adolescentes,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC024,, ,YD708-05 (Fondo de las Naciones Unidas para la Infancia),,Sector Público,Finalizado,01/01/2011,31/12/2011,,31/12/2011,,01/01/2011, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2011,Naciones Unidas,Multilateral,Proyecto,YD708-05,Donación / No reembolsable,110 - EDUCACIÓN,"111 - Educación, nivel no especificado", ,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,Secretaría de Educación, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.1: Erradicar la pobreza extrema, ,Plan de Nación,Educación y Cultura como medios de emancipación social,Tasa de Escolaridad Promedio, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14412,14412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14412,14412,0,0,0,0
  Desarrollo Infantil Temprano,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC001,, ,YK701-12 (Fondo de las Naciones Unidas para la Infancia), ,Sector Público,Finalizado,01/01/2010,31/12/2010,,31/12/2010,,01/01/2010, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2010,Naciones Unidas,Multilateral,Proyecto,YK701-12,Donación / No reembolsable,130 - PROGRAMAS / POLÍTICAS SOBRE POBLACIÓN Y SALUD REPRODUCTIVA,13020 - Atención salud reproductiva, ,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,11 - Salud,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,Fondo de las Naciones Unidas para la Infancia, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social"," - Meta 1.1: Erradicar la pobreza extrema
 - Meta 1.4:  Alcanzar 95% de cobertura de salud en todos los niveles del sistema", ,Plan de Nación,Salud como fundamento para la mejora de las condiciones de vida,Tasa de Mortalidad en menores 5 años, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,240000,0,0,0,0
  Estrategia de inclusión de la niñez excluida,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC014,, ,S/N (Fondo de las Naciones Unidas para la Infancia),,Sector Público,Finalizado,01/01/2010,31/12/2010,,31/12/2010,,01/01/2010, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2010,Naciones Unidas,Multilateral,Proyecto, ,Donación / No reembolsable,110 - EDUCACIÓN,"111 - Educación, nivel no especificado",11110 - Política educativa y gestión administrativa,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,Fondo de las Naciones Unidas para la Infancia, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.3: Elevar la escolaridad promedio a 9 años, ,Plan de Nación,Educación y Cultura como medios de emancipación social," - % Cobertura neta de Educación Básica en sus dos primeros ciclos
 - % Cobertura neta de Educación Básica en tercer ciclo", , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,25000,0,0,0,0
  Participación Infantil y Movilización Social,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC005,, ,YY705-10 (Fondo de las Naciones Unidas para la Infancia), ,Sector Público,Finalizado,01/01/2010,31/12/2010,,31/12/2010,,01/01/2010, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,07/10/2010,Naciones Unidas,Multilateral,Proyecto,YY705-10,Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general",15110 - Política de administración y gestión del sector público,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,14 - Protección Social,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,Fondo de las Naciones Unidas para la Infancia, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.1: Erradicar la pobreza extrema, ,Plan de Nación,Desarrollo Sostenible de la Población,Tasa de Población recibiendo Información y Valores en el marco de una perspectiva Educacional de Familia, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570497.9,570497.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570497.9,570497.9,0,0,0,0
  Gestión Local,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC033,, ,YY711-04 (Fondo de las Naciones Unidas para la Infancia),,Sector Público,Finalizado,01/01/2011,31/12/2011,,31/12/2011,,01/01/2011, ,Sub-national," - R03 - Occidente
 - R14 - Región Lempa"," - Belén
 - Gracias
 - San Manuel Colohete
 - San Marcos de Caiquin
 - San Sebastián",Fondo de las Naciones Unidas para la Infancia,01/01/2011,Naciones Unidas,Multilateral,Proyecto,YY711-04,Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general",15150 - La participación democrática y la sociedad civil,4 - FORTALECIMIENTO INSTITUCIONAL,43 - Defensa y Seguridad,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,FM International OY, ,Visión de País,"Objetivo 2 - Una Honduras que se desarrolla en democracia, con seguridad y sin violencia",Meta 2.3: Reducir el Índice de Conflictividad Social a menos de 6, ,Plan de Nación,"Democracia, Ciudadanía y Gobernabilidad",Índice de Conflictividad Social, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,21000,0,0,0,0
  Educación Pre básica y básica de Calidad,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC006,, ,YE702-07/09 (Fondo de las Naciones Unidas para la Infancia), ,Autoadministrado por Socio al Desarrollo,Finalizado,01/01/2010,31/12/2010,,31/12/2010,,01/01/2010, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,07/10/2010,Naciones Unidas,Multilateral,Proyecto,YE702-07/09,Donación / No reembolsable,110 - EDUCACIÓN,112 - Educación básica,11240 - Educación primera infancia,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,Fondo de las Naciones Unidas para la Infancia, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.3: Elevar la escolaridad promedio a 9 años, ,Plan de Nación,Educación y Cultura como medios de emancipación social," - % Cobertura neta de Educación Básica en sus dos primeros ciclos
 - % Cobertura neta de Educación Pre básica", , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697926.16,697926.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697926.16,697926.159,0,0,0,0
  Apoyo al Proyecto: Educación e Igualdad entre los Géneros,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC037,, ,YD708-01 (Fondo de las Naciones Unidas para la Infancia),,Sector Público,Finalizado,01/01/2011,31/12/2011,,31/12/2011,,01/01/2011, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2011,Naciones Unidas,Multilateral,Asistencia Técnica,YD708-01,Donación / No reembolsable,110 - EDUCACIÓN, , ,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,Fondo de las Naciones Unidas para la Infancia, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.3: Elevar la escolaridad promedio a 9 años, , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96800,96800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96800,96800,0,0,0,0
"  Apoyo al Proyecto: Inversión Social,Políticas Públicas y Alianzas",ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC040,, ,YY711-01 (Fondo de las Naciones Unidas para la Infancia),,Autoadministrado por Socio al Desarrollo,Finalizado,01/01/2011,31/12/2011,,31/12/2011,,01/01/2011, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2011,Naciones Unidas,Multilateral,Proyecto,YY711-01,Donación / No reembolsable,500 - AYUDA EN FORMA DE SUMINISTRO DE BIENES Y AYUDA GENERAL PARA PROGRAMAS, , ,4 - FORTALECIMIENTO INSTITUCIONAL,41 - Modernización del Estado,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,Fondo de las Naciones Unidas para la Infancia, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.1: Erradicar la pobreza extrema, , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82137,82137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82137,82137,0,0,0,0
  Atención Integral a la Niñez Huerfana y vulnerable,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC003,, ,YJ704-11 (Fondo de las Naciones Unidas para la Infancia), ,Sector Público,Finalizado,01/01/2010,31/12/2010,,31/12/2010,,01/01/2010, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2010,Naciones Unidas,Multilateral,Proyecto,YJ704-11,Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL,"152 - Prevención y resolución de conflictos, paz y seguridad", ,4 - FORTALECIMIENTO INSTITUCIONAL,43 - Defensa y Seguridad,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,Fondo de las Naciones Unidas para la Infancia, ,Visión de País,"Objetivo 2 - Una Honduras que se desarrolla en democracia, con seguridad y sin violencia",Meta 2.3: Reducir el Índice de Conflictividad Social a menos de 6, ,Plan de Nación,Seguridad como Requisito del Desarrollo," - Tasa de Homicidios ( x 100mil habitantes)
 - Tasa de Homicidios asociados a Robo ( x 100mil hab)", , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,24000,0,0,0,0
  Observatorio de Derechos de la Niñez,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,UNIC034,, ,YY711-05 (Fondo de las Naciones Unidas para la Infancia),,Sector Público,Finalizado,01/01/2011,31/12/2011,,31/12/2011,,01/01/2011, ,Country/National, , ,Fondo de las Naciones Unidas para la Infancia,01/01/2011,Naciones Unidas,Multilateral,Proyecto,YY711-05,Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general",15160 - Derechos humanos,4 - FORTALECIMIENTO INSTITUCIONAL,43 - Defensa y Seguridad,NIÑEZ,Fondo de las Naciones Unidas para la Infancia,"Dirección de Niñez, Adolescencia y Familia", ,Visión de País,"Objetivo 2 - Una Honduras que se desarrolla en democracia, con seguridad y sin violencia",Meta 2.3: Reducir el Índice de Conflictividad Social a menos de 6, ,Plan de Nación,"Reducción de la Pobreza, Generación de Activos e Igualdad de Oportunidades",% de Hogares en Situación de Pobreza Extrema, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197679.05,197679.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197679.05,197679.05,0,0,0,0
  Aprendiendo a Educar a Niños/as pequeños de Honduras [2012], ,04/10/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,87171345079,S/N,,[Fondos Banco Bilbao Vizcaya Argentaria de España] (Organización de Estados Iberoamericanos),,Autoadministrado por Socio al Desarrollo,Finalizado,16/03/2012,16/03/2013,16/03/2013,16/03/2013,,16/03/2012, ,Sub-national," - R01 - Valle de Sula
 - R02 - Valle de Comayagua
 - R04 - Valle de Lean
 - R13 - Golfo de Fonseca
 - R14 - Región Lempa"," - Apacilagua
 - Arizona
 - Camasca
 - Choloma
 - Choluteca
 - Colomoncagua
 - Concepción [Intibucá]
 - Concepción de Maria
 - Dolores
 - Duyure
 - El Corpus
 - El Porvenir
 - El Triunfo
 - Esparta
 - Intibucá
 - Jesús de Otoro
 - Jutiapa
 - La Ceiba
 - La Esperanza
 - La Lima
 - La Masica
 - Magdalena
 - Marcovia
 - Masaguara
 - Morolica
 - Namasigue
 - Omoa
 - Orocuina
 - Pespire
 - Pimienta
 - Potrerillos
 - Puerto Cortés
 - San Antonio
 - San Antonio de Cortés
 - San Antonio de Flores [Choluteca]
 - San Francisco
 - San Francisco de Opalaca
 - San Francisco de Yojoa
 - San Isidro
 - San José
 - San Juan
 - San Manuel
 - San Marcos de Colon
 - San Marcos de la Sierra
 - San Miguelito
 - San Pedro Sula
 - Santa Ana de Yusguare
 - Santa Cruz de Yojoa
 - Santa Lucía
 - Tela
 - Villanueva
 - Yamaranguila",Banco Bilbao Vizcaya Argentaria,16/03/2012,España,Bilateral,Proyecto,[Fondos Banco Bilbao Vizcaya Argentaria de España],Donación / No reembolsable,110 - EDUCACIÓN,112 - Educación básica, ,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura,NIÑEZ,Organización de Estados Iberoamericanos,Organización de Estados Iberoamericanos, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social", , ,Plan de Nación,Educación y Cultura como medios de emancipación social,% Cobertura neta de Educación Pre básica, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39057,39057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39057,39057,0,0,0,0
  Diplomado en Educación Inicial [2011],ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,OEIA021,, ,S/N (Organización de Estados Iberoamericanos),,Autoadministrado por Socio al Desarrollo,Finalizado,01/01/2011,31/12/2011,,,,01/01/2011, ,Country/National, , ,Organización de Estados Iberoamericanos,01/01/2011,Organismo Internacional,Multilateral,Proyecto, ,Donación / No reembolsable,110 - EDUCACIÓN,112 - Educación básica,11220 - Educación primaria,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura,NIÑEZ,Organización de Estados Iberoamericanos,Secretaría de Educación, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.3: Elevar la escolaridad promedio a 9 años, ,Plan de Nación,Educación y Cultura como medios de emancipación social,% Cobertura neta de Educación Pre básica, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39473.7,39473.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39473.7,39473.7,0,0,0,0
  Educación Inicial en Honduras [2012], ,20/11/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/06/2013,87171346072,,,[Fondos AECID] (Organización de Estados Iberoamericanos),,Autoadministrado por Socio al Desarrollo,Finalizado,17/01/2012,31/12/2012,,31/12/2012,,17/01/2012, ,Country/National, , ,Agencia Española de Cooperación Internacional para el Desarrollo," - 17/01/2012
 - 28/11/2012",España,Bilateral,Proyecto,[Fondos AECID],Donación / No reembolsable,110 - EDUCACIÓN,112 - Educación básica,11220 - Educación primaria,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura,NIÑEZ,Organización de Estados Iberoamericanos,Organización de Estados Iberoamericanos, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.3: Elevar la escolaridad promedio a 9 años, ,Plan de Nación,Educación y Cultura como medios de emancipación social,Tasa de Escolaridad Promedio, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51933.124,51933.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51933.124,51933.124,0,0,0,0
  Asistencia Programa Mundial de Alimentos [Actividad 1],ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),13/06/2013,PMAL002,, ,105380 Actividad 1 (Programa Mundial de Alimentos),,Sector Público,Finalizado,01/01/2008,31/12/2011,,,,01/01/2008, ,Sub-national," - R02 - Valle de Comayagua
 - R03 - Occidente
 - R11 - El Paraíso
 - R12 - Región Centro
 - R13 - Golfo de Fonseca
 - R14 - Región Lempa"," - Aguanqueterique
 - Alianza
 - Alubaren
 - Amapala
 - Apacilagua
 - Aramecina
 - Belén
 - Cabañas
 - Camasca
 - Candelaria
 - Cane
 - Caridad
 - Chinacla
 - Choluteca
 - Colomoncagua
 - Concepción
 - Concepción [Intibucá]
 - Concepción de Maria
 - Copán Ruinas
 - Curarén
 - Dolores
 - Duyure
 - El Corpus
 - El Paraíso
 - El Triunfo
 - Erandique
 - Florida
 - Goascorán
 - Gracias
 - Guajiquiro
 - Gualcince
 - Güinope
 - Intibucá
 - Jesús de Otoro
 - La Campa
 - La Esperanza
 - La Libertad
 - La Paz
 - La Venta
 - La Virtud
 - Langue
 - Lauterique
 - Magdalena
 - Mapulaca
 - Marcala
 - Marcovia
 - Masaguara
 - Mercedes de Oriente
 - Morocelí
 - Morolica
 - Nacaome
 - Nueva Armenia
 - Opatoro
 - Orocuina
 - Oropolí
 - Pespire
 - Piraera
 - Potrerillos
 - Sabanagrande
 - San Agustín
 - San Andrés
 - San Antonio
 - San Antonio de Flores [El Paraíso]
 - San Antonio del Norte
 - San Francisco
 - San Francisco de Coray
 - San Francisco de Opalaca
 - San Isidro
 - San Jerónimo
 - San José
 - San Juan
 - San Juan de Opoa
 - San Lorenzo
 - San Lucas
 - San Manuel Colohete
 - San Marcos de Colon
 - San Marcos de la Sierra
 - San Matías
 - San Miguelito
 - San Nicolás
 - San Pedro de Copán
 - San Pedro de Tutule
 - Santa Ana
 - Santa Ana de Yusguare
 - Santa Cruz
 - Santa Elena
 - Santa Lucía
 - Santa María
 - Santa Rita
 - Santiago de Puringla
 - Teupasenti
 - Texiguat
 - Vado Ancho
 - Veracruz
 - Virginia
 - Yamaranguila
 - Yarula
 - Yauyupe
 - Yuscarán",Programa Mundial de Alimentos,01/01/2008,Naciones Unidas,Multilateral,Proyecto, ,Donación / No reembolsable,110 - EDUCACIÓN,112 - Educación básica,11240 - Educación primera infancia,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,14 - Protección Social,NIÑEZ,Programa Mundial de Alimentos,Secretaría de Educación, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social"," - Meta 1.1: Erradicar la pobreza extrema
 - Meta 1.3: Elevar la escolaridad promedio a 9 años", ,Plan de Nación,Educación y Cultura como medios de emancipación social," - % Cobertura neta de Educación Básica en sus dos primeros ciclos
 - % Cobertura neta de Educación Básica en tercer ciclo
 - % Cobertura neta de Educación Media
 - % Cobertura neta de Educación Pre básica
 - Rendimiento Promedio en Español y Matemáticas  en  Nivel  Básico y Medio", , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,17476545.87,2459133.31,0,22827330,0,0,0,6252693.84,0,0,0,0,0,850242.22,0,0,0,0,0,7464186.679,0,0,0,0,0,450289.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17476545.87,17476545.87,0,22827330,0,0
