Objective,Organizations and Project ID,Project Description,Project Title,Status,Actual Approval Date,Actual Completion Date,Actual Start Date,Proposed Approval Date,Proposed Completion Date,Proposed Start Date,Country,District,Region,Zone,Donor Agency,Cumulative Commitment,Cumulative Disbursement,Donor Group,Primary Sector,Primary Sector sub-sector,2010 Actual Commitments,2010 Actual Disbursements,2010 Planned Commitments,2010 Planned disbursements,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Commitments,2011 Planned disbursements,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Commitments,2012 Planned disbursements,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Commitments,2013 Planned disbursements,Total Actual Commitments,Total Actual Disbursements,Total Planned Commitments,Total Planned disbursements
  ,HA-G1018 (Banque interaméricaine de développement),,ICEF-HAITI: Emergency Spending Allocation - (BID/HA-G1018),Ongoing,20/07/2010,,06/09/2010,20/07/2010,,06/09/2010,Haiti, ,Ouest, ,Banque interaméricaine de développement,76450,76450,Banque interaméricaine de développement,311 - AGRICULTURE, , , , , , , , , , , , , , , , , ,76450,76450, , 
  ,HA-G1019 (Banque interaméricaine de développement),,HAITI-HESAR- Project Managment for non profit organization - (BID/HA-G1019),Ongoing,19/07/2010,,19/07/2010,19/07/2010,,19/07/2010,Haiti, , , ,Banque interaméricaine de développement,144000,50400,Banque interaméricaine de développement,160 - SERVICES ET INFRASTRUCTURES SOCIAUX DIVERS, , , , , , , , , , , , , , , , , ,144000,50400, , 
  , ,,Improving Child Survival and Building Blocks for Social Safety Nets - (BID/HA-T1116),Ongoing,02/12/2009,,23/12/2009,02/12/2009,,23/12/2009,Haiti, , , ,Banque interaméricaine de développement,3000000,1505734,Banque interaméricaine de développement,120 - SANTE,122 - Santé de base, , , , , , , , , , , , , , , , ,3000000,1505734, , 
  ,HA-T1074 (Banque interaméricaine de développement), ,Development of the Industrial Park Model to Improve Trade Opportunities for Haiti - (BID/HA-T1074),Ongoing,13/08/2009,,13/08/2009,13/08/2009,,13/08/2009,Haiti, , , ,Banque interaméricaine de développement,150000,147125,Banque interaméricaine de développement,250 - ENTREPRISES ET AUTRES SERVICES,25010 - Services et institutions de soutien commerciaux, , , , , , , , , , , , , , , , ,150000,147125, , 
  ,HA-T1098 (Banque interaméricaine de développement),,Support to the Presidential commission on Education Reform - (BID/HA-T1098),Ongoing,05/12/2008,,05/12/2008,05/12/2008,,05/12/2008,Haiti, , , ,Banque interaméricaine de développement,500000,456399,Banque interaméricaine de développement,110 - EDUCATION, , ,456399, , , , , , , , , , , , , , ,500000,456399, , 
  ,HA-X1009 (Banque interaméricaine de développement),,Preparation of Full-Sized GEF Project HA-X1002 - (BID/HA-X1009),Ongoing,05/09/2008,,24/10/2008,05/09/2008,,24/10/2008,Haiti, , , ,Banque interaméricaine de développement,200000,170090,Banque interaméricaine de développement,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT","410 - Protection de l’environnement, général", ,170090, , , , , , , , , , , , , , ,200000,170090, , 
  ,HA-M1012 (Banque interaméricaine de développement),,Promotion of Community Tourism in the North Department of Haiti - (BID/HA-M1012),Ongoing,18/12/2007,,24/03/2008,18/12/2007,,24/03/2008,Haiti, ,Nord, ,Banque interaméricaine de développement,150000,145988,Banque interaméricaine de développement,332 - TOURISME,33210 - Politique du tourisme et gestion administrative, ,145988, , , , , , , , , , , , , , ,150000,145988, , 
 ,HA-T1060 (Banque interaméricaine de développement), ,Feasibility Studies for a Second Landfill in Port-au-Prince - (BID/HA-T1060),Ongoing,12/12/2007,,18/01/2008,12/12/2007,,18/01/2008,Haiti, ,Ouest, ,Banque interaméricaine de développement,300000,253431,Banque interaméricaine de développement,140 - EAU ET ASSAINISSEMENT, , ,253431, , , , , , , , , , , , , , ,300000,253431, , 
  ,HA-X1003 (Banque interaméricaine de développement), ,Policy and Forestry Action Plan for Haiti - (BID/HA-X1003),Ongoing,20/12/2006,,03/07/2007,20/12/2006,,03/07/2007,Haiti, , , ,Banque interaméricaine de développement,50216,0,Banque interaméricaine de développement,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT","410 - Protection de l’environnement, général", , , , , , , , , , , , , , , , ,50216, , , 
  ,HA-T1114 (Banque interaméricaine de développement),,Support for Preparation of Civil Registry Project - (BID/HA-T1114),Ongoing,10/12/2009,,,10/12/2009,,,Haiti, , , ,Banque interaméricaine de développement,250000,0,Banque interaméricaine de développement,150 - GOUVERNEMENT ET SOCIETE CIVILE,"151 - Gouvernement et société civile, général", , , , , , , , , , , , , , , , ,250000, , , 
  ,HA-S1012 (Banque interaméricaine de développement),,CP-Kotelam Development and implementation of financial products for housing for - (BID/HA-S1012),Ongoing,14/12/2010,,,14/12/2010,,,Haiti, ,Ouest, ,Banque interaméricaine de développement,200000,0,Banque interaméricaine de développement,250 - ENTREPRISES ET AUTRES SERVICES, ,200000, , , , , , , , , , , , , , , ,200000, , , 
  ,HA-T1135 (Banque interaméricaine de développement),,Strategic Port Study in Haiti - (BID/HA-T1135),Ongoing,14/12/2010,,,14/12/2010,,14/12/2010,Haiti, , , ,Banque interaméricaine de développement,100000,0,Banque interaméricaine de développement,210 - TRANSPORTS ET ENTREPOSAGE,21040 - Transport par voies d’eau,100000, , , , , , , , , , , , , , , ,100000, , , 
  , , ,Debt relief / NY Pledge // (Source : OSE/Finlande),Ongoing,,,,,,, , , , ,Ambassade de Finlande,3719383.116,0,Finlande,600 - ACTIONS SE RAPPORTANT À LA DETTE,60010 - Action se rapportant à la dette, , , , , , , , , , , , , , , , ,3719383.116, ,3719383.116, 
  , , ,Programme pour la mise en place d'un fonds de garantie de crédit Partiel / CIRH-CN000048 / (Source : FRH),Ongoing,,,,17/08/2010,,,Haiti, , , ,Fonds de reconstruction d'Haiti,12500000,0,FRH,240 - BANQUES ET SERVICES FINANCIERS, , , , , , , , , , , , , , , , , ,12500000, , , 
  ,HA-T1140 (Banque interaméricaine de développement), ,Merging Italian Fashion and Hatian Design - (BID/HA-T1140),Ongoing,14/06/2011,,,,,,Haiti, , , ,Banque interaméricaine de développement,50000,0,Banque interaméricaine de développement,250 - ENTREPRISES ET AUTRES SERVICES, ,50000, , , , , , , , , , , , , , , ,50000, , , 
 ,HA-T1144 (Banque interaméricaine de développement),,Roundtable with the New Haitian Government (BID/HA-T1144),Ongoing,06/06/2011,,,06/06/2011,,,Haiti, , , ,Banque interaméricaine de développement,100000,0,Banque interaméricaine de développement,998 - NON AFFECTE/ NON SPECIFIE,99810 - Secteur non spécifié,100000, , , , , , , , , , , , , , , ,100000, , , 
  ,HTI-10/H/32147/R/8768 (Bureau de la coordination des affaires humanitaires), ,Recouvrement de la capacité de soins en santé primaire et en nutrition suite au séisme dans les communes de Grand et Petit Goave,Ongoing,,,12/01/2010,,31/12/2011,12/01/2010,Haiti," - Grand-Goâve
 - Petit-Goâve",Ouest,Léogâne Arrondissement," - Fondation Chaîne du Bonheur
 - Fonds des Nations Unies pour l'enfance
 - Fonds pour les interventions d'urgence (OCHA)",3197595.548,0," - Fondations et établissements d'utilité publique non haïtiens
 - Nations Unies",700 - AIDE HUMANITAIRE, , , , , ,652750, , , , , , , , , , , ,3197595.548, , , 
  , , ,"Community Health and AIDS Mitigation Project (CHAMP) - MCH, Livelihoods, HIV",Ongoing,,,,,28/02/2014,01/07/2009,Haiti, ," - Artibonite
 - Grande Anse
 - Nippes
 - Nord-Ouest
 - Sud", ,Agence des États-Unis pour le développement international,17586316,0,États-Unis,120 - SANTE, , , , , , , , , , , , , , , , , ,17586316, , , 
  , , ,Supports directs aux églises en Haïti,Operationally closed,,,,,30/09/2010,12/01/2010,Haiti, ,Ouest, ,Catholic Relief Services,1000000,0,ONG non haïtienne,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT","410 - Protection de l’environnement, général", , , , , , , , , , , , , , , , ,1000000, , , 
  , , ,Réponse Urgence Haïti Tremblement de terre - WASH,Operationally closed,,,,,30/09/2011,12/01/2010,Haiti, ,Ouest, ,Agence des États-Unis pour le développement international,6137565,0,États-Unis,700 - AIDE HUMANITAIRE,720 - Intervention d’urgence, , , , , , , , , , , , , , , , ,6137565, , , 
  , , ,Réponse du Séisme en Haïti - Sécurité alimentaire,Operationally closed,,,,,30/09/2011,13/01/2010,Haiti, ,Ouest, ," - Bill and Melinda Gates Foundation
 - Open Society Institute
 - Programme alimentaire mondial", , ," - Autres org. de la société civile non haïtienne
 - Nations Unies",700 - AIDE HUMANITAIRE, , , , , , , , , , , , , , , , , , , , , 
  , , ,Intervention d'urgence en Haïti – Abris Provisoires,Operationally closed,,,,,30/09/2011,05/02/2010,Haiti, ,Ouest, ,Agence des États-Unis pour le développement international,23139604,0,États-Unis,700 - AIDE HUMANITAIRE, , , , , , , , , , , , , , , , , ,23139604, , , 
  , , ,Multi-Year Assistance Program (MYAP),Ongoing,,,,,30/09/2012,01/03/2008,Haiti,Pestel," - Grande Anse
 - Nippes
 - Sud",Corail,Agence des États-Unis pour le développement international,61658066,0,États-Unis,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT",430 - Autres multi secteurs, , , , , , , , , , , , , , , , ,61658066, , , 
  , , ,"Supports semenciers aux ménages vulnérables accueillant les déplacés dans le Sud, la Grand ‘Anse et les Nippes.",Operationally closed,,,,,31/12/2010,01/07/2010, , , , , , , , ,311 - AGRICULTURE, , , , , , , , , , , , , , , , , , , , , 
  , , ,Protection,Operationally closed,,,,,30/04/2011,01/05/2010,Haiti, ," - Artibonite
 - Grande Anse
 - Nippes
 - Nord-Est
 - Nord-Ouest
 - Ouest
 - Sud", ,Agence des États-Unis pour le développement international,3498960,0,États-Unis,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT",430 - Autres multi secteurs, , , , , , , , , , , , , , , , ,3498960, , , 
  , , ,Reponse a I'epidemie de cholera en Haiti dans la region goavienne Phase 1,Operationally closed,,,,,24/02/2011,23/11/2010,Haiti," - Grand-Goâve
 - Petit-Goâve
 - Port-au-Prince",Ouest," - Léogâne Arrondissement
 - Port-au-Prince Arrondissement"," - Canton de Genève
 - Fondation Chaîne du Bonheur",373846.162,0," - Fondations et établissements d'utilité publique non haïtiens
 - Suisse",120 - SANTE, ,373846.162, , , , , , , , , , , , , , , ,373846.162, , , 
  , , ,Hopital de Drouillard pour la prise en charge des urgences chirurgicales et médicales (déménagement de l'Hopital de Saint-Louis de Gonzague à Drouillard),Ongoing,,,,,,01/12/2004,Haiti, ,Ouest, ,Médecins Sans Fontières France, , ,ONG non haïtienne,120 - SANTE,122 - Santé de base, , , , , , , , , , , , , , , , , , , , 
  , , ,Réponse à l’épidémie de choléra,Ongoing,,,,,,01/10/2010,Haiti, ," - Artibonite
 - Nord
 - Nord-Ouest
 - Ouest", ,Médecins Sans Fontières France, , ,ONG non haïtienne,120 - SANTE,122 - Santé de base, , , , , , , , , , , , , , , , , , , , 
  , , ,Reponse a I'epidemie de cholera en Haiti dans la region goavienne Phase II,Operationally closed,,,,,24/05/2011,24/02/2011,Haiti," - Grand-Goâve
 - Petit-Goâve
 - Port-au-Prince",Ouest," - Léogâne Arrondissement
 - Port-au-Prince Arrondissement"," - Canton de Genève
 - Fondation Chaîne du Bonheur",261642.054,0," - Fondations et établissements d'utilité publique non haïtiens
 - Suisse",120 - SANTE, ,261642.054, , , , , , , , , , , , , , , ,261642.054, , , 
  , , ,Renforcement de la reponse au cholera - Region goavienne - Phase III,Operationally closed,,,,,28/02/2012,01/09/2011,Haiti,Grand-Goâve,Ouest,Léogâne Arrondissement,Fondation Chaîne du Bonheur,165514.038,0,Fondations et établissements d'utilité publique non haïtiens,120 - SANTE, ,165514.038, , , , , , , , , , , , , , , ,165514.038, , , 
  , , ,Restoring a Protective Environment in the Commune de Port-au-Prince,Operationally closed,,,,,30/06/2011,01/07/2010,Haiti, ,Ouest, ,Bureau de la coordination des affaires humanitaires,458618,0,Nations Unies,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT","410 - Protection de l’environnement, général", , , , , , , , , , , , , , , , ,458618, , , 
  , , ,Partenariat en Eau et Assainissement avec la Croix Rouge Américaine,Operationally closed,,,,,31/10/2011,30/11/2010,Haiti, ,Ouest, ,Croix Rouge Américaine,2990457,0,ONG non haïtienne,120 - SANTE, ,2990457, , , , , , , , , , , , , , , ,2990457, , , 
  , , ,Réponse post-séisme 2010 pour les enfants séparés et affectés par le tremblement de terre.,Operationally closed,,,,,31/10/2011,01/07/2010,Haiti, ,Ouest, ,Fonds des Nations Unies pour l'enfance,1319402.739,0,Nations Unies,160 - SERVICES ET INFRASTRUCTURES SOCIAUX DIVERS,16010 - Services sociaux, , , , , , , , , , , , , , , , ,1319402.739, , , 
  , , ,Rapid Response Cholera Mitigation Project,Operationally closed,,,,,31/12/2011,18/06/2011,Haiti, ,Ouest, ,Fonds des Nations Unies pour l'enfance, , ,Nations Unies," - 120 - SANTE
 - 140 - EAU ET ASSAINISSEMENT", , , , , , , , , , , , , , , , , , , , , 
  , , ,Cholera Response Intervention,Operationally closed,,,,,30/05/2011,18/10/2010,Haiti," - Delmas
 - Port-au-Prince
 - Pétionville
 - Tabarre",Ouest,Port-au-Prince Arrondissement,International rescue committee,277165,0,ONG non haïtienne," - 120 - SANTE
 - 140 - EAU ET ASSAINISSEMENT", ,277165, , , , , , , , , , , , , , , ,277165, , , 
  , , ,"Institutional Wash Project in Léogâne,",Operationally closed,,,,,31/12/2011,01/11/2011,Haiti, ,Ouest," - Léogâne Arrondissement
 - Port-au-Prince Arrondissement",International rescue committee,146856,0,ONG non haïtienne,140 - EAU ET ASSAINISSEMENT, , , , , ,146856, , , , , , , , , , , ,146856, , , 
  , , ,Emergency Response to Haitian Earthquake,Operationally closed,,,,,30/04/2011,20/03/2010,Haiti," - Carrefour
 - Delmas
 - Tabarre",Ouest,Port-au-Prince Arrondissement, , , , ,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT",430 - Autres multi secteurs, , , , , , , , , , , , , , , , , , , , 
  , , ,Post-Earthquake Response,Operationally closed,,,,,30/06/2011,01/07/2010,Haiti, ,Ouest, ,Fonds des Nations Unies pour l'enfance,2970651,0,Nations Unies,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT",430 - Autres multi secteurs, , , , , , , , , , , , , , , , ,2970651, , , 
  , , ,Haiti Emergency Response,Operationally closed,,,,,15/01/2011,15/01/2010,Haiti," - Carrefour
 - Delmas
 - Tabarre",Ouest,Port-au-Prince Arrondissement,Stavros Niarchos Foundation,150000,0,Fondations et établissements d'utilité publique non haïtiens,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT",430 - Autres multi secteurs, , , , , , , , , , , , , , , , ,150000, , , 
  , , ,Haiti Emergency Response (Tides Foundation and the Google Inc. Charitable Giving Fund),Operationally closed,,,,,31/01/2011,25/01/2010,Haiti, , , , , , , ,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT",430 - Autres multi secteurs, , , , , , , , , , , , , , , , , , , , 
  , , ,Haiti Emergency Response (Richard and Rhoda Goldman Fund),Operationally closed,,,,,31/01/2011,31/01/2010,Haiti, ,Ouest, , , , , ,"400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE, DONT ENVIRONNEMENT",430 - Autres multi secteurs, , , , , , , , , , , , , , , , , , , , 
  ,CN/000147 (Fonds de reconstruction d'Haiti), ,Appui à la mise en œuvre du plan d'éducation et de la Réforme en Haïti - CN/000147 (Source : FRH),Ongoing,31/10/2011,,,,,,Haiti, , , ,Fonds de reconstruction d'Haiti,5000000,0,FRH,998 - NON AFFECTE/ NON SPECIFIE,99810 - Secteur non spécifié, , , , ,5000000, , , , , , , , , , , ,5000000, , , 
 , , ,Extension du tribunal de Paix de Marigot,Operationally closed,,30/11/2011,30/08/2011,,,,Haiti, ,Sud-Est, ,MINUSTAH,18875.655,18875.655,Nations Unies,150 - GOUVERNEMENT ET SOCIETE CIVILE,"151 - Gouvernement et société civile, général",18875.655,18875.655, , , , , , , , , , , , , , ,18875.655,18875.655, , 
  ,HA-T1153 (Banque interaméricaine de développement), ,Institutional capacity building to promote private investment in Haiti - (BID/HA-T1153),Ongoing,,,,,,,Haiti, , , ,Banque interaméricaine de développement,750000,0,Banque interaméricaine de développement,331 - POLITIQUE COMMERCIALE ET REGLEMENTATIONS ET AJUSTEMENT LIE AU COMMERCE, , , , , ,750000, , , , , , , , , , , ,750000, , , 
  Objectifs du projet : - Renforcer les capacités techniques et cliniques du personnel des organismes partenaires du projet - Développer localement des modèles de soins - Appliquer des pratiques basées sur les résultats de terrain pour améliorer le système de soins et traitements - Décentraliser les services de soins et supports au niveau communautaire, , ,DSRelief- Centre d’Excellence,Operationally closed,,30/09/2010,01/03/2003,,30/09/2010,01/03/2003,Haiti, ," - Artibonite
 - Nippes
 - Nord
 - Ouest", ,Agence des États-Unis pour le développement international,3025408,0,États-Unis,120 - SANTE, , , , , , , , , , , , , , , , , ,3025408, , , 
  , , ,PROJET D'ALPHABETISATION ET D'EDUCATION DE BASE POUR LES JEUNES ADULTES DANS La COMMUNAUTE DE LA VALLEE ET MARIGOT - PHASE IV,Ongoing,,,,25/11/2011,01/10/2013,22/04/2012,Haiti, ,Sud-Est, ,Agence espagnole de coopération internationale pour le développement,259740.259,0,Espagne,110 - EDUCATION, , , , , ,259740.259, , ,259740.259, , , , , , , , ,259740.259, , ,259740.259
  , , ,"SECURITE ECONOMIQUE, AUTONOMIE ET DROITS DES FEMMES",Ongoing,01/02/2008,,,01/02/2008,31/12/2012,01/02/2008,Haiti, , , ,Agence espagnole de coopération internationale pour le développement,1948051.948,1948051.948,Espagne,150 - GOUVERNEMENT ET SOCIETE CIVILE, , , , , , , , , , , , , , , , , ,1948051.948,1948051.948, , 
  , , ,Projet PROHUERTA Sud-est.,Pipeline,02/02/2011,,,,31/10/2013,01/04/2011,Haiti, ,Sud-Est, ,Agence espagnole de coopération internationale pour le développement,519480.519,0,Espagne,311 - AGRICULTURE, ,519480.519, , , , , , ,519480.519, , , , , , , , ,519480.519, , ,519480.519
  , , ,PROJET DE RELANCE DE L’AGRICULTURE A MARIGOT,Operationally closed,01/02/2008,,,,05/12/2011,13/11/2009,Haiti,Marigot,Sud-Est,Jacmel Arrondissement,Agence espagnole de coopération internationale pour le développement,259740.259,259740.259,Espagne," - 311 - AGRICULTURE
 - 500 - AIDE-PROGRAMME ET PRODUITS", , , , , , , , , , , , , , , , , ,259740.259,259740.259, , 
  ,HTI-11/P-HR-RL/39249/R/5179 (Bureau de la coordination des affaires humanitaires),,CAP2011 - Promoting Awareness and Access to Human Rights in Port au Prince part of ECHO/HTI/BUD/2011/91036,Operationally closed,,,,,31/12/2011,01/04/2011,Haiti,Port-au-Prince,Ouest,Port-au-Prince Arrondissement,Office humanitaire de la Communauté européenne,143300,0,Union européenne,700 - AIDE HUMANITAIRE, , , , , ,143300, , , , , , , , , , , ,143300, , , 
  ,HTI-11/P-HR-RL/39506/R/5179 (Bureau de la coordination des affaires humanitaires),,CAP2011 - Reinforcing the Capacity of Haitian Civil Society Organizations to Respond to and Prevent Violence Against Women part of ECHO/HTI/BUD/2011/91036,Operationally closed,,,,,31/12/2011,01/01/2011,Haiti,Port-au-Prince,Ouest,Port-au-Prince Arrondissement,Office humanitaire de la Communauté européenne,281259,0,Union européenne,700 - AIDE HUMANITAIRE, , , , , ,281259, , , , , , , , , , , ,281259, , , 
  Reconstruction of 100 houses in Gressier Reconstruction of 4 schools in PaP, , ,Ligne de Financement (CARITAS) / NY Pledge (New Existing) // (Source : OSE/Luxembourg),Ongoing,,,,,30/06/2013,30/06/2010,Haiti," - Gressier
 - Port-au-Prince",Ouest,Port-au-Prince Arrondissement,Ambassade de Luxembourg,1234038.961,902870.129,Luxembourg," - 110 - EDUCATION
 - 160 - SERVICES ET INFRASTRUCTURES SOCIAUX DIVERS",112 - Éducation de base, ,240532.467, , , ,662337.662, ,662337.662, , , ,331168.831, , , , ,1234038.961,902870.129,1234038.961,993506.493
  , , ,Ligne de Financement (Objectif Tiers Monde) / NY Pledge (New Existing) // (Source : OSE/Luxembourg),Ongoing,,,,,30/06/2013,30/06/2010,Haiti,Carrefour,Ouest,Port-au-Prince Arrondissement,Ambassade de Luxembourg,1103896.103,454545.454,Luxembourg," - 110 - EDUCATION
 - 140 - EAU ET ASSAINISSEMENT"," - 112 - Éducation de base
 - 14020 - Distribution d’eau et assainissement – systèmes à grande échelle", , , , , ,324675.324, ,324675.324, , , ,324675.324, , , , ,1103896.103,454545.454,1103896.103,649350.649
  , , ,Ligne de Financement (Red Cross (Luxembourg) / NY Pledge (New Existing) // (Source : OSE/Luxembourg),Ongoing,,,,,30/06/2013,30/06/2010,Haiti,Gressier,Ouest,Port-au-Prince Arrondissement,Ambassade de Luxembourg,1020610.389,241389.61,Luxembourg,120 - SANTE,"121 - Santé, général", ,111519.48, , , ,129870.129, ,259740.259, , , ,259740.259, , , , ,1020610.389,241389.61,1020610.389,519480.519
  , , ,Ligne de Financement (Handicap Int (Luxembourg) / NY Pledge (New Existing) // (Source : OSE/Luxembourg),Ongoing,,,,,30/06/2013,30/06/2010,Haiti, , , ,Ambassade de Luxembourg,330027.272,259740.259,Luxembourg,323 - POLITIQUE DE LA CONSTRUCTION, , ,259740.259, , , , , , , , , ,64935.064, , , , ,330027.272,259740.259,330027.272,64935.064
  , , ,Ligne de Financement (Care (Luxembourg) / NY Pledge (New Existing) // (Source : OSE/Luxembourg),Ongoing,,,,,30/06/2013,30/06/2010,Haiti," - Gonaïves
 - Gros Morne
 - Jérémie
 - Léogâne"," - Artibonite
 - Grande Anse
 - Ouest"," - Gonaïves
 - Gros Morne Arrondissement
 - Jérémie Arrondissement
 - Léogâne Arrondissement",Ambassade de Luxembourg,461038.961,461038.961,Luxembourg,110 - EDUCATION,112 - Éducation de base, ,129870.129, , , ,331168.831, ,331168.831, , , , , , , , ,461038.961,461038.961,461038.961,331168.831
