Project Title,Municipality,Donor Agency,OECD/DAC Sector,Implementing Agency,Beneficiary Agency,2008 Actual Commitments,2008 Actual Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2010 Actual Commitments,2010Actual Disbursements,Total Actual Commitments,Total Actual Disbursements
  Visit of the Ministry of Finance of Republic of Kosovo to Ministry of Finance of Estonia to learn about state budgeting and strategical planning., ,Estonia,150 - GOVERNMENT AND CIVIL SOCIETY, ,Government of Kosovo,0,0,0,16388.399,0,0,0,16388.399
  Study visit of the delegation of Customs Service of Republic of Kosovo to Estonian Tax and Customs Board, ,Estonia,331 - TRADE POLICY AND REGULATIONS AND TRADE-RELATED ADJUSTMENT, ,Government of Kosovo,0,12981.599,0,0,0,0,0,12981.599
  Judicial Assessement Mission, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,61710.498,53108.799,0,0,0,0,61710.498,53108.799
  IPA 2012 - Improving the approximation of laws and coherence of the legal framework - Supply Contract, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Support to Witness Protection, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Upgrade of Kosovo’s Transmission System Infrastructure, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  EIDHR (European Instrument for Democracy and Human Rights)- 2012, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Supply of equipment for rendering plant, ,European Union Office,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Technical assistance for Animal Health Department of the KVFA and Food and Veterinary Laboratory, ,European Union Office,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Rural Grant Scheme, ,European Union Office,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Support to Waste Management in Kosovo: Support to the manufacturers of packaging materials, ,European Union Office,140 - WATER AND SANITATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Support to dialogue and EU approximation, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Support to Kosovo’s policy and strategic planning, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Support to Kosovo Institute for Public Administration, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Preparations for Decentralised Implementation System (DIS), ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Novoberde/NovoBrdo pilot project works,Novoberda,European Union Office,332 - TOURISM, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Increase of competitiveness and export promotion, ,European Union Office,331 - TRADE POLICY AND REGULATIONS AND TRADE-RELATED ADJUSTMENT, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - ICT in Education-Phase II Service Contract, ,European Union Office,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - ICT in Education-Phase II Supply Contract, ,European Union Office,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Support to Minority Communities: RAE Support Initiative II, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  EIDHR 2013 - EIDHR Grant Scheme CBSS 2013, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Infrastructure facility (Waste Storage in Leposavic),Leposaviq,European Union Office,140 - WATER AND SANITATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Education in Emergency and Post-Conflict Transition, ,Austria,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH," - Ministry of Culture Youth and Sports
 - United Nations Children's Fund","Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  IPA 2012 - Return and Reintegration - Phase IV, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Youth Employment and Entrepreneurship in Kosovo-UNICEF, ,Austrian Development Agency,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,United Nations Children's Fund,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Energy Efficiency Facility BMZ nr. (202094738 / 2020 94 746), ,German Government,240 - BANKING AND FINANCIAL SERVICES,KfW,Procredit Bank,10633500,0,0,0,0,0,10633500,0
  IPA 2010 - Environment, ,European Union Office,140 - WATER AND SANITATION, ," - Ministry of Labor and Social Walfare
 - Ministry of Local Government and Administration",0,0,12740650,0,0,0,12740650,0
  IPA 2010 - Energy Sector Reform, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Scaling up HIV Prevention in Kosovo II, ,The Global Fund,130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,Community Development Fund,Community Development Fund,0,0,0,0,0,0,0,0
  IPA 2013 - Grants to SMEs, ,European Union Office,250 - BUSINESS AND OTHER SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Rehabilitation of the Prizren Fortress,Prizren,European Union Office,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,2823000,0,0,0,2823000,0
  IPA 2012 - Support to Kosovo Institutions in the field of protection of personal data - Supply Contract, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Public Finance: Strengthened budget planning process - 2 framework contracts, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Support to Kosovo customs (supply contract), ,European Union Office,331 - TRADE POLICY AND REGULATIONS AND TRADE-RELATED ADJUSTMENT, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Municipal Infrastructure - Design and Supervision, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Municipal Infrastructure - Works, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Municipal Infrastructure Facility (Service and Works),North Mitrovica,European Union Office,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Support to dialogue and EU approximation. Investment - Works and Supplies, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to the Ministry of the Kosovo Security Force (MKSF), ,United States Department of State,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,2500000,2500000,0,0,2500000,2500000
  Strengthening of services for minors in the Centres of Social Work of Kosovo, ,Italian Cooperation," - 110 - EDUCATION
 - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES",Amici dei Bambini,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Trust Fund Sustainable Employment and Development Policy Programme, ,Italian Cooperation,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,World Bank,Ministry of Finance,0,0,4522800,4522800,0,0,4522800,4522800
"  Support the Implementation if the ""National Disability Action Plan (PAD)"""," - Gjilan
 - Pristina",Italian Cooperation,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES," - Italian Cooperation
 - Italian Ministry of Foreign Affairs"," - Ministry of Labor and Social Walfare
 - Office for Good Governance",0,0,1486398.513,0,0,793268.164,1486398.513,793268.164
  SEENET II : a network of cross border cooperation between Italy and Sout East Europe," - Peja
 - Pristina",Italian Cooperation,400 - MULTISECTOR/CROSS-CUTTING,Italian Ministry of Foreign Affairs," - Municipality of Peja
 - Municipality of Prishtina",0,0,0,0,970199.999,0,970199.999,0
  IPA 2013 - Civil Society Facility, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Enhancing the employment of vulnerable groups - Grant Scheme, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Rehabilitation of Urban Water Supply VII - Phase II," - Fushe Kosova
 - Lipjan
 - Obiliq
 - Podujeva
 - Pristina
 - Shtime"," - European Union Office
 - German Government",140 - WATER AND SANITATION, ,N/A Beneficiary Organization,0,0,0,0,23108100,0,23108100,0
  IPA 2013 - Support to Minority Communities: Resettlement and reintegration of RAE returnees from FYROM and Montenegro, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Support to Labour Inspectorate - Supply Contract, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 and 2013 - Support to Regional Economic Development - Grant Scheme, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Support to Regional Development Agencies (Operating Grant), ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Women arts center Gorazdevac,Peja,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kommunenes Sentralforbund - E-governance and local economic development, ,Norway,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Onlending to Micro, Small and Medium sized enterprises (Bmz nr. 2020 95 941)", ,German Government,240 - BANKING AND FINANCIAL SERVICES,KfW,Procredit Bank,0,0,19641000,0,0,0,19641000,0
  IPA 2012 - Agriculture Census, ,European Union Office,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  History of Kosovo in History books of Kosovo, ALbania, Serbia & Macedonia", ,Embassy of Netherlands,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Entry Ticket for EU programmes, ,European Union Office,998 - UNALLOCATED/ UNSPECIFIED, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Contribution to the ICO, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,International Civilian Office,International Civilian Office,0,0,753800,0,0,615250,753800,615250
  IPA 2008 - Contruction of the WTP in Vushtrri,Vushtrria,European Union Office,140 - WATER AND SANITATION, ,N/A Beneficiary Organization,3969840,0,0,0,0,0,3969840,0
  IPA 2008 - Supervision of Works at WTP IN Vushtrri,Vushtrria,European Union Office,140 - WATER AND SANITATION, ,N/A Beneficiary Organization,283560,0,0,0,0,0,283560,0
  USDA Agricultural Technical Assistance, ,US Department of Agriculture,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,200000,0,200000,0
  IPA 2011 - Control and/or eradication of animal diseases, ,European Union Office,311 - AGRICULTURE,PAN Livestock Services LTD,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Control and Eradication of Animal Diseases(Supply), ,European Union Office,311 - AGRICULTURE,N.T.SH.FAUNA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - TA for preparation of Technical Specifications for the IPA 2012 Cadastral Records project, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Danish Management AS,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Institutional Building to support the Ministry of Culture, Youth and Sports in the creation of a technical data managerial system supporting decisions concerning Cultural Heritage in Kosovo", ,Italian Cooperation,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES," - Italian Ministry of Cultural Heritage
 - Italian Ministry of Foreign Affairs"," - Kosovo Institute for the Protection of Monuments
 - Ministry of Culture Youth and Sports
 - Ministry of Environment and Spatial Planning",0,0,1486399.999,0,0,0,1486399.999,0
  International Civilian Office, ,Estonia,150 - GOVERNMENT AND CIVIL SOCIETY, ,Government of Kosovo,0,0,0,87404.799,0,105296.1,0,192700.9
  IPA 2013 - Support to trade policies, ,European Union Office,331 - TRADE POLICY AND REGULATIONS AND TRADE-RELATED ADJUSTMENT, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Streamlining of agriculture and rural development policies of SEE countries for EU accession, ,Food and Agriculture Organization,311 - AGRICULTURE,Food and Agriculture Organization,"Ministry for Agriculture, Forestry and Rural Development",0,0,0,0,0,0,0,0
  IPA 2011 - Quality improvement in meat processing industry, ,European Union Office,321 - INDUSTRY,Valvis Company SH.P.K,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Regaining local market share of fruit and vegetable processed products, ,European Union Office,321 - INDUSTRY,N.P.T. Abi & Elif 19 SH.P.K,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - RONA –quality dairy produce, ,European Union Office,321 - INDUSTRY,S & R Product Sh.P.K,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Energy support program phase I BMZ nr: (2005 66 166), ,German Government,322 - MINERAL RESOURCES AND MINING,KfW,"Transmission System and Market Operator, JSC",0,6987352.761,0,2312001.51,0,6233432.284,0,15532786.56
  Energy support program Accompanying Measures BMZ nr. (2005 70 382), ,German Government,322 - MINERAL RESOURCES AND MINING,KfW," - Kosovo Energy Corporation JSC
 - Transmission System and Market Operator, JSC",0,435488.953,0,545075.648,0,0,0,980564.601
  IPA 2013 - Support to Radiation Protection and Nuclear Safety in Kosovo, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Strengthening and modernizing the forensic services at the Department of Forensic Medicine including the Missing Persons Operation in Kosovo - Service Contract, ,European Union Office," - 120 - HEALTH
 - 150 - GOVERNMENT AND CIVIL SOCIETY", ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Strengthening and modernizing the forensic services at the Department of Forensic Medicine including the Missing Persons Operation in Kosovo - Supply Contract, ,European Union Office," - 120 - HEALTH
 - 150 - GOVERNMENT AND CIVIL SOCIETY", ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  IPA 2009 - Supervision of construction works for construction of Kosovo Forensic Psychiatric Institute in Prishtinë/Pri_tina municipality, Kosovo*", ,European Union Office," - 120 - HEALTH
 - 150 - GOVERNMENT AND CIVIL SOCIETY",Ove Arup and Partners International Ltd.,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Integrated Border Management and Fight against Drug Trafficking KS 11 IB JH 03, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Northern Ireland Cooperation Overseas,Kosovo Police,0,0,0,0,0,0,0,0
  IPA 2013 - Support to International Business College Mitrovica (IBCM)," - Mitrovica
 - North Mitrovica",European Union Office,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2012 - Support to Social Services, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Technical Assistance for Construction of Juvenile Justice Centre Facility in Lipjan/Lipljane municipality, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  IPA 2013 - Return and Reintegration of displaced Roma, Ashkali and Egyptian (RAE) minority communities returning from the former Yugoslav Republic of Macedonia (fYROM) and Montenegro to Kosovo", ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Office of the United Nations High Commissioner for Refugees,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Agriculture Land Pollution Survey, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Deutsche Gesellschaft für Internationale Zusammenarbeit,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2011 - Obtaining higher standards ( HACCP standards), ,European Union Office,321 - INDUSTRY,P.P. Lesak Kom,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2013 - Support to Juvenile Justice Works Contract, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Societa Italiana di Monitoraggio SpA,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Development frameworks of Low Emission Development Strategies and identification of Nationally Appropriate Mitigation Actions, ,Austrian Development Agency,400 - MULTISECTOR/CROSS-CUTTING,United Nations Development Programme,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Clinical Psychology and Psychotherapy in Kosovo, ,Swiss Agency for Development and Cooperation,120 - HEALTH,Kosova Health Foundation,Ministry of Health,0,0,0,0,0,0,0,0
  Project on Monitoring of War Crimes Trials and Ethnically and Politically Motivated, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,Humanitarian Law Centre,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Enhancing Youth Employability through Vocational and Training of Students in Kosovo, ,United Kingdom of Great Britain and Northern Ireland,311 - AGRICULTURE, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Technical and Legal Support to the Ministry for Communities and Returns, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kosovo Property Agency (KPA), ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Returns, ," - Danish Refugee Council
 - United Kingdom of Great Britain and Northern Ireland",150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Strengthening anti-corruption policies and furthering EU integration in Kosovo, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Empowering women victims of sexual violence and torture during conflict in Kosovo, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,Kosova Rehabilitation Centre for Torture Victims,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Summer Programme on Peace Building, Post-Conflict Transformation and Development", ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Non-formal dialogue between Kosovo and Serbia, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Regional Reporting on Transitional Justice Issues, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
"  Regional Schools of Transitional Justice for future civic and political leaders from BiH, Kosovo and Serbia", ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,Humanitarian Law Centre,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Youth Education Committee, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  BBC It’s Our Generation, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Creating a New Generation of Women Leaders in Kosovo and Serbia, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Kosovo-Serbia Professional Work Exchange for Enhanced Policy Dialogue, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Inter-ethnic Youth Leadership and Community Building 2013/14," - Mitrovica
 - North Mitrovica",United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,National Democratic Institute,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Mitrovica Summer University,North Mitrovica,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,SPARK,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Agricultural sector development and economic growth in north of Kosovo – Zvecan Municipality,North Mitrovica,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
