AGENCE,PROJET,DESCRIPTION,OBJECTIFS GENERAUX,RESULTATS,STATUT,ASPECT GENRE,NIVEAU D'INTERVENTION,REGION,SECTEUR BUDGET,SECTEUR OCDE,MAFSAN,PRIORITE NATIONALE,MINISTERE DE TUTELLE,AGENCE D'EXECUTION,INSCRIPTION LOI DES FINANCES,2009 Engagements Effectifs,2009 Decaissements Effectifs,2009 Decaissements Prevus,2010 Engagements Effectifs,2010 Decaissements Effectifs,2010 Decaissements Prevus,2011 Engagements Effectifs,2011 Decaissements Effectifs,2011 Decaissements Prevus,2012 Engagements Effectifs,2012 Decaissements Effectifs,2012 Decaissements Prevus,2013 Engagements Effectifs,2013 Decaissements Effectifs,2013 Decaissements Prevus,2014 Engagements Effectifs,2014 Decaissements Effectifs,2014 Decaissements Prevus,2015 Decaissements Prevus,2016 Decaissements Prevus,2017 Decaissements Prevus,2018 Decaissements Prevus,2019 Decaissements Prevus,Total Disbursements,Total Commitments,Planned Disbursements
APDRA,Projet Piscicole Madagascar Cote Est - Securite Alimentaire,"1- La disponibilite des proteines de bonnes qualites nutritionnelles (proteines animales) pour l'alimentation des populations rurales des Regions Atsinanana et Analanjirofo est augmentee et securisee.   2- Les capacites des acteurs regionaux a evaluer, analyser et proposer des actions visant le renforcement de la situation alimentaire et nutritionnelle des populations sont renforcees.",,,En Cours,Non Genre,Regional,ATSINANANA,PRODUCTIF,AGRICULTURE,"FOOD, SECURITY & NUTRITION",Developpement rural, , ,Hors Budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46296.296,0,0,0,0,0,0,0,46296.296
African Capacity Building Foundation/CREAM,APPUI AU Centre de Recherche d'Etude et Appui a l'Analyse Economique a Madagascar (CREAM I),,,,En Cours,Non Genre,National, ,ADMINISTRATIF,GOUVERNEMENT ET SOCIETE CIVILE,OTHER,Economie,Ministere de l'economie et de la Planification," - African Capacity Building Foundation/CREAM
 - PNUD : Programme des Nations Unies pour le Developpement",Inscrit dans la Loi de Finances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Capacity Building Foundation/CREAM,"Centre de Recherche, d'Etude et d'Appui a l'Analyse Economique a Madagascar (CREAM II)","Le CREAM est un etablissement public a caractere administratif qui a pour objectif principal de contribuer au developpement d'une capacite durable des acteurs etatiques et non-etatiques en gestion des politiques economiques de Madagascar. En effet, les principaux beneficiaires des produits du centre sont les institutions publiques chargees de la gestion economique et les groupements du secteur prive. Le centre s'efforce actuellement d'accroitre son impact en realisant diverses activites se rapprochant davantage aux besoins des acteurs economiques du pays.",,"Resultats depuis 2011:     11 etudes et recherches et documents de synthese ont ete realises    05 documents de recherches ont ete publies en version physique    06 policy briefs ont ete edites    22 Monographies regionales ont ete realisees et validees au niveau des 22 chefs lieux de Region    La ligne renforcement de capacite des cadres de l'INSTAT a permit de former 50 eleves a l'ecole statistique de l'INSTAT    29 ateliers de dissemination ont ete realises dont 7 ateliers pour les etudes et recherches et 22 ateliers pour les 22 monographies regionales.    2 ateliers de concertations realises en partenariat avec l'EDBM et avec la participation des personnalites intellectuelles en provenance du secteur public, du secteur prive et de la societe civile    4 sessions de formation de courte duree a l'etranger pour les cadres du CREAM ont ete realisees    17 requêtes ont ete satisfaites sous forme d'appui technique au profit des beneficiaires du Centre (Administration publique, Secteur prive, Societe civile)",En Cours,Non Genre,National, ,ADMINISTRATIF,GOUVERNEMENT ET SOCIETE CIVILE,OTHER,Economie,Ministere de l'economie et de la Planification,African Capacity Building Foundation/CREAM,Inscrit dans la Loi de Finances,0,0,0,0,0,0,2000000,354593,0,0,404138,190424,0,257556,0,0,0,0,0,0,0,0,0,1016287,2000000,190424
Agronomes et Veterinaires Sans Frontieres,Magnatsara VELONTEGNA / Actions autour du parc Zahamena et de la reserve d'Ambatovaky.,,Contribution a la securite alimentaire et a la reduction de la pauvrete ainsi qu'a la reservation des ressources vegetales et animales dans les aires proteges d'Ambatovaky et de Zahamena; ameliorer les conditions de vie et la resilience des populations vivant autour des parcs et reserves nationaux d'Ambatovaky et de Zahamena.,Les productions agricoles ameliorees; les revenus des populations cibles sont ameliores par le developement des AGR; L&#39;acces a l&#39;eau potable et a l&#39;assainissement est ameliore; les jeunes connaissent et preservent les ressources naturelles.,En Cours,Non Genre,Regional,ANALANJIROFO,PRODUCTIF,AGRICULTURE,OTHER,Developpement rural, , ,Hors Budget,0,0,0,0,0,0,127056.085,0,0,0,49721.533,0,0,0,0,0,0,123366.968,0,0,0,0,0,49721.533,127056.085,123366.968
Agronomes et Veterinaires Sans Frontieres,Projet Fanantenana Sud Ouest.,,Contribuer a la reduction de l'insecurite alimentaire et de la pauvrete des menages ruraux sur le plateau Mahafaly.,"Les rendements agricole sont augmentes gräce a la diffusion de varietes et techniques adaptees a la zone, la production est diversifiee avec des produits a haute valeur nutritionnelle et de produits utilises traditionnellement en periode de soudure; la productivite de l&#39;elevage est augmentee; les agroeleveurs sont organises pour acceder a des services de base; les experiences du projet capitalisees permettent aux differents intervenants publics et prives de la region de preciser leurs strategies d&#39;action en matiere de lutte contre l&#39;insecurite alimentaire.",En Cours,Non Genre,Regional,ATSIMO-ANDREFANA,PRODUCTIF,AGRICULTURE,"FOOD, SECURITY & NUTRITION",Developpement rural, , ,Hors Budget,0,0,0,0,0,0,0,0,0,147867.105,323060.526,0,0,303536.986,0,0,0,273558.024,273558.024,124866.666,0,0,0,626597.512,147867.105,398424.69
Agronomes et Veterinaires Sans Frontieres,Projet Miary.,,"Contribuer a accroÓtre la resilience des populations aux aleas du climat, en particulier la baisse de la disponibilite en eau, tout en assurant une progression de leur niveau de vieé.",Assurer un ancrage durable de systeme de micro irrigation ( SMI) dans les regions; integration du SMI dans les systemes de production agro ecologique; sensibilisation des acteurs locaux et contributions aux politiques publiques.,En Cours,Non Genre,Regional," - ANALAMANGA
 - ITASY",PRODUCTIF,AGRICULTURE,OTHER, , , ,Hors Budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875611.111,0,311328.395,389160.493,0,0,0,0,875611.111,875611.111,311328.395
Agronomes et Veterinaires Sans Frontieres,Projet SOHAVELO.,,Reduire l'insecurite alimentaire et la pauvrete des populations rurales dans le district de Tsihombe.,"R1 - ‚Des innovations techniques adaptees au contexte local sont identifiees et diffuseesé  R2- ‚ Les agro-eleveurs ont acces a une offre de service de qualite en matiere de sante animale, de conseils et d'approvisionnement agricole é  R3- Les capacites techniques et de gestion des acteurs des filieres porteuses (ricin, pervenche et petit elevage) sont renforcees  R4- ‚ Le terroir est amenage de façon a augmenter la resilience des populations face aux chocs climatiques, environnementaux et economiques  R5- ‚ La societe civile et l'ensemble des acteurs sont informes, sensibilises et impliques dans l'amelioration de la securite alimentaire et de la resilience aux chocsé",En Cours,Non Genre,Regional,ANDROY,PRODUCTIF,AGRICULTURE,OTHER, , , ,Hors Budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139034,0,581770.27,394992.592,394992.592,0,0,0,139034,139034,976762.862
Agronomes et Veterinaires Sans Frontieres,Projet ZOLOKE.,,Reduire l'insecurite alimentaire et la pauvrete des populations rurales dans le district d'Amboasary Atsimo.,"R1 - ‚Des innovations agricoles sont diffusees dans les domaines du maraÓchage, de l'elevage et des productions vivrieres é  R2 - ‚Des prestataires de service de qualite sont disponibles au niveau local dans le domaine du maraÓchage, de l'elevage et des productions vivrieresé  R3- ‚ Le centre de service agricole de Amboasary et les services d'informations sont renforces au niveau operationnel et technique é  R4- ‚ Des amenagements hydro-agricoles et anti-erosif sont realises qui permettent d'augmenter et securiser les productions é",En Cours,Non Genre,Regional,ANOSY,PRODUCTIF,AGRICULTURE,OTHER, , , ,Hors Budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202360.81,0,482643.209,455362.962,455362.962,0,0,0,202360.81,202360.81,938006.171
Agronomes et Veterinaires Sans Frontieres,Projet Agriculture biologique et Commerce equitable.,,Contribuer a l'amelioration durable des conditions de vie de familles paysannes.,Amelioration des techniques de production et de gestion de la qualite avec une approche agro-ecologique; renforcement des capacites organisationnelles de la cooperative; renforcement des capacites entrepreneuriales de Fanohana.,En Cours,Non Genre,Regional,ANALANJIROFO,PRODUCTIF,AGRICULTURE,OTHER,Developpement rural, , ,Hors Budget,74810.14,0,0,0,61566.595,0,0,94177.223,0,0,89370.928,0,0,0,0,0,0,0,0,0,0,0,0,245114.746,74810.14,0
Aide et Action International - Espace Ocean Indien,Projet sur la promotion de la gouvernance locale du systeme educatif,* Operationnaliser des dispositifs de pilotage de l'education au niveau communal ou local     * Renforcer les competences et capacites des acteurs locaux de l'education dans la mise en ìuvre du Plan Communal de Developpement Educatif (PCDE) ou des projets d'ecole   * Appuyer la promotion de reponses locales aux besoins educatifs     * Promouvoir l'articulation entre les differents niveaux de planification de l'education,Renforcement de la prise en main et de l'engagement des acteurs sur le developpement educatif. Contribution a l'amelioration du pilotage local du systeme educatif,La connaissance des responsables et de la population communaux ou locaux en education sous ses differents aspects est amelioree         Les dispositifs de pilotage de l'education au niveau communal ou local sont operationnalises               Les competences des acteurs locaux de l'education dans la mise en ìuvre du PCDE ou de projet d'ecole sont renforcees               Des reponses locales aux besoins educatifs sont apportees,En Cours,Non Genre,Regional," - ANALAMANGA
 - ANALANJIROFO
 - ANDROY
 - ANOSY
 - ATSIMO-ANDREFANA
 - DIANA
 - MENABE
 - SAVA",SOCIAL,EDUCATION,OTHER,Education, , ,Hors Budget,1481801.543,331956.094,0,0,425402.046,0,0,347613.573,389329.483,0,173841,240591.687,0,0,0,0,0,0,0,0,0,0,0,1278812.713,1481801.543,629921.17
Aide et Action International - Espace Ocean Indien,Projet sur le developpement du prescolaire pour tous,* Organiser un etat des lieux avec les partenaires institutionnels  * Mobiliser la communaute sur le prescolaire  * Appuyer la mise en place de dispositifs locaux de prise en charge des educateurs   * Appuyer des experimentations etatiques du prescolaire (Centres d'Activites Prescolaires)  * Plaider sur la prise de responsabilite des institutions sur la prise en charge du prescolaire   * Appuyer la mise aux normes des centres d'activites prescolaires formelles et communautaires  * Faire un suivi des acquis des enfants beneficiaires du prescolaire   * Appuyer le developpement des pedagogies actives dans les deux premieres annees du primaire,Contribution au developpement d'une education de qualite pour tous dans les zones d'intervention d'AEA a Madagascar,L'appropriation de l'importance du prescolaire par les communautes s'ameliore    La prise en charge etatique du prescolaire est amelioree     Des dispositifs d'encadrement du prescolaire sont developpes     Les benefices educatifs du prescolaire obtenus par les enfants sont maintenus en primaire,En Cours,Non Genre,Regional," - ANALAMANGA
 - ATSIMO-ANDREFANA
 - DIANA
 - SAVA",SOCIAL,EDUCATION,OTHER,Education, , ,Hors Budget,0,0,0,583204.096,0,0,0,136683.751,398859.936,0,304527,167813.921,0,194883.525,209632.148,0,0,92397.743,0,0,0,0,0,636094.276,583204.096,868703.748
Aide et Action International - Espace Ocean Indien,Projet de lutte contre le travail des enfants par l'education.,,,,En Cours,Non Genre,National, ,SOCIAL,EDUCATION,OTHER,Non aligne, , ,Hors Budget,0,0,0,0,0,0,0,0,0,0,11533,0,0,0,0,0,0,0,0,0,0,0,0,11533,0,0
Aide et Action International - Espace Ocean Indien,Projet sur la contribution a l'amelioration des pratiques pedagogiques des maÓtres,* Appuyer l'amelioration de l'encadrement de proximite des enseignants   * Renforcer les competences pedagogiques des maÓtres  * Appuyer le partage et l'experimentation des bonnes pratiques pedagogiques   * Faire de l'influence et du plaidoyer au niveau des ministeres de tutelle pour la prise en compte des pratiques pedagogiques innovantes dans l'Espace Ocean Indien,Contribution au developpement de l'Education de Qualite Pour Tous,L'encadrement de proximite des enseignants s'ameliore   Les competences pedagogiques des maÓtres sont renforcees    Les reformes educatives prennent en compte les pratiques pedagogiques innovantes de la sous region Ocean Indien,En Cours,Non Genre,National, ,SOCIAL,EDUCATION,OTHER,Education, , ,Hors Budget,618942.57,165686.747,0,0,151995.405,0,0,57488.561,141824.257,0,67906,105611.152,0,0,0,0,0,0,0,0,0,0,0,443076.713,618942.57,247435.409
Aide et Action International - Espace Ocean Indien,Projet sur l'appui a l'emergence d'un mouvement citoyen autour de l'education,"* Informer, sensibiliser et eduquer la masse sur les enjeux de l'EPT, la citoyennete, le civisme et la paix sociale   * Mobiliser les acteurs a tous les niveaux pour la cause de l'Education de Qualite Pour Tous  * Accompagner les Organisations de la Societe Civile dans la structuration et dans l'emergence des organisations faÓtieres   * Appuyer la mise en ìuvre des Plans d'actions et promouvoir les initiatives educatives des OSC et celles des organisations faÓtieres  * Promouvoir les reseaux de solidarite",Renforcement de la prise en main et l'engagement des acteurs a tous les niveaux sur le developpement socio - educatif,La societe civile est consciente de sa mission citoyenne   La societe civile est soutenue dans sa dynamique     Des mouvements de solidarite pour la cause de l'EQPT sont operationnels au niveau de l'EOI,En Cours,Non Genre,National, ,SOCIAL,EDUCATION,OTHER,Solidarite, , ,Hors Budget,0,16646.214,0,324694.238,131431.869,0,0,39953.3,91800.028,0,45021,67709.702,0,0,0,0,0,0,0,0,0,0,0,233052.383,324694.238,159509.73
Aide et Action International - Espace Ocean Indien,Projet sur l'amelioration de l'education des filles et des femmes,"* Informer et sensibiliser pour le maintien des filles a l'ecole et sur les droits des femmes    * Appuyer l'elaboration et la mise en ìuvre/promotion de Projets d'ecole (CPRS)  * Renforcer les competences et les capacites des acteurs locaux de l'education dans la mise en ìuvre des Projets d'ecole (et mise en place d'un Contrat Programme de Reussite Scolaire ou CPRS),   * Appuyer la mise en place de cadres juridiques locaux en faveur de l'education des filles  * Appuyer la reflexion sur la mise en place de dispositifs locaux perennes d'accompagnement de l'education des filles  * Appuyer l'organisation des activites parascolaires et l'amelioration de l'environnement scolaire",Contribuera l'atteinte des objectifs de l'Education pour tous,Les acteurs locaux sont conscients des droits et enjeux de l'education notamment celle des filles   Les acteurs de l'education s'attaquent aux problemes de l'education des filles via les contrats programmes de reussite scolaire     Des reponses locales sont apportees a l'acces et au maintien des filles a l'ecole et au college,En Cours,Genre,Regional,ANALANJIROFO,SOCIAL,EDUCATION,OTHER,Solidarite, , ,Hors Budget,39465.02,0,0,0,18666.835,0,0,13737.744,617712.712,0,18981,0,0,40128.068,0,0,0,0,0,0,0,0,0,91513.647,39465.02,617712.712
Allemagne/GIZ,Appui a la mise en ìuvre de la strategie multisectorielle de lutte contre le VIH/SIDA a Madagascar,Appui a la mise en ìuvre de la strategie multisectorielle de lutte contre le VIH/SIDA a Madagascar.,"Le taux d'infection du VIH est stabilise dans les zones a haut risque et parmi les groupes cibles particulierement a risque : les jeunes, les travailleurs du sexe, les hommes ayant des rapports sexuels avec les hommes et les personnes vivant avec le VIH.","attendu:   La prevalence du VIH chez la population generale, les jeunes et les travailleurs de sexe est maintenue a moins de 1%; des outils ont ete developpes pour faciliter la decentralisation de la reponse au VIH a Madagascar; Les communes les plus vulnerables mettent en ìuvre leur plan de lutte contre le VIH/sida; Plus de quarante entreprises ont formule et mettent en ìuvrent leurs politiques de lutte contre le VIH/sida en milieu de travail. Les employes ont un comportent plus responsable car les pratiques les plus risquees ont diminue; Une nouvelle approche de la GIZ a permis d'identifier des nouveaux cas positifs en VIH de maniere plus fiable; Plus de 600 individus (jeunes marginalises, personnes vivant avec le VIH) ont ete preformes en vue du processus d'insertion professionnelle.   2012:     - Prevalence du VIH chez la population generale, les jeunes et les travailleurs de sexe est maintenue a moins de 1%,    - Diminution du taux d'abandon au traitement des personnes vivant avec le VIH    - Une nouvelle approche pour l'identification des nouveaux cas de maniere plus fiable,    - Une Plate-forme de discussion et de partage d'informations,    - Plus de 40 entreprises mettent en ìuvre leurs politiques de lutte contre le VIH/SIDA.",Cloture,Assez significatif,National, ,SOCIAL,SANTE,OTHER,Sante,Comite National de Lutte contre le SIDA,Allemagne/GIZ,Hors Budget,0,1314726.47,0,0,666962.666,0,0,1151259.488,0,0,594662.027,736842.105,0,0,0,0,0,0,0,0,0,0,0,3727610.651,0,736842.105
Allemagne/GIZ,Appui au Ministere des Finances et du Budget,Appui au Ministere des Finances et du Budget,Appuier a ce que l'utilisation et la gestion des finances publiques soient plus transparentes et efficaces . Ameliorer le cadre juridique et institutionnel en vue d'une meilleure gestion des finances publiques au niveau regional,,Cloture,Non Genre,National, ,ADMINISTRATIF,NON AFFECTE/ NON SPECIFIE,OTHER,Gouvernance,Ministere des Finances et du Budget,Allemagne/GIZ,Hors Budget,0,761063.235,0,0,322316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083379.235,0,0
Allemagne/GIZ,Programme Germano-Malgache pour l'Environnement PGME(Partie cooperation technique),Programme Germano Malgache pour l'Environnement,"Ameliorer la gestion durable des ressources naturelles dans les zones prioritaires selectionnees (les regions prioritaires sont le Nord et le Sud-ouest), par les acteurs importants du secteur de l'environnement et de l'energie domestique",2012:   - 2856 ha reboises ;   - Augmentation des revenus des familles reboiseurs et reduction de la pression sur les forêts naturelles   - Economie d'environ 600 tonnes de charbons par an ;   - Gestion des Ressources Naturelles amelioree.,Cloture,Non Genre,National, ,PRODUCTIF,DESTINATION PLURI-SECTORIELLE OU TRANSVERSALE,OTHER,Environnement,"Ministere de l'Environnement, de l'Ecologie et des Forêts",Allemagne/GIZ,Inscrit dans la Loi de Finances,0,4504057.352,0,0,2901172,0,0,2330902.451,0,0,3713535.283,0,10526315.79,4363100.991,0,0,5106045.089,4814814.814,0,0,0,0,0,17812768.08,10526315.79,4814814.814
Allemagne/GIZ,Programme d'Appui a la Gestion de l'Environnement (PAGE),,,,En Cours,Non Genre,National, ,PRODUCTIF,DESTINATION PLURI-SECTORIELLE OU TRANSVERSALE,OTHER, , , ,Hors Budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7160493.827,7654320.987,0,0,0,0,0,7654320.987
