Project Title,AMP ID,Cris Number,Modalities,Objective,Project Description,Status,Donor Agency,Donor Group,Donor Type,Financing Instrument,Funding Classification Date,Funding Status,Type Of Assistance,Actors,Issues,Measures Taken,Primary Sector,Primary Sector Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Responsible Organization,Executing Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,National Planning Objectives Level 4,National Planning Objectives Level 5,National Planning Objectives Level 6,National Planning Objectives Level 7,National Planning Objectives Level 8,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Description,Secondary Program,Secondary Program Level 1,Secondary Program Level 8,Financial Instrument,FY,Ministry Code,On/Off/Treasury Budget,Project Code,Donor Observations,Line Ministries Observations,Actual Approval Date,Actual Closed Date,Actual Start Date,Proposed Completion Date,Proposed Project Life,Proposed Start Date,Departement,Implementation Level,District,Region,Proposed Project Amount,2011 Planned Commitments,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Disbursements,2011 Planned Expenditures,2011 Actual Expenditures,2012 Planned Commitments,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Disbursements,2012 Planned Expenditures,2012 Actual Expenditures,2013 Planned Commitments,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Disbursements,2013 Planned Expenditures,2013 Actual Expenditures,2014 Planned Commitments,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Disbursements,2014 Planned Expenditures,2014 Actual Expenditures,Planned Commitments,Actual Commitments,Actual Disbursements,Planned Disbursements,Planned Expenditures,Actual Expenditures
  Mise en place d'un Programme Nationale de Micro-finance participative et de renforcement des capacites,112007136288,,Totally acquired, , ,Awaiting implementation,Banque Islamique de Developpement,Fonds Arabes Multilateraux,Multilateral,Pret projet concessionnel,26/06/2014,Awaiting implementation,Pret, , , ,01 - SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,"011 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres",200 - INFRASTRUCTURE ET SERVICES eCONOMIQUES,240 - BANQUES ET SERVICES FINANCIERS,Ministere aupres du Premier Ministre charge de l’Economie et des Finances, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Cadre Macroeconomique et Finances Publiques, , , , , , , , , , , , , , , ,,,Off Budget, , , ,26/06/2014,,,,,, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11291534.2,0,0,0,0,0,11291534.2,0,0,0,0
  Programme de reduction des emissions dues a la deforestation et a la degradation forestiere,112007136291,,Totally acquired, , ,Ongoing,Association Internationale de Developpement,Groupe Banque Mondiale,Multilateral,Don projet,29/09/2014,Ongoing,Don financier, , , ,05 - PROTECTION DE L'ENVIRONNEMENT,054 - Preservation de la biodiversite et protection de la nature,400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,410 - PROTECTION DE L'ENVIRONNEMENT GENERAL,Ministere des Eaux et Forets, ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,"Environnement, Eaux et Forets",Eaux et Forets, , , , , , , , , , , , , , ,,,Off Budget, , , ,29/09/2014,,,,,29/09/2014, ,National, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3819410.235,0,0,0,0,0,3819410.235,0,0,0,0
  Projet d'approvisionnement en eau potable de la region de l'Est,112007136293,,Totally acquired, , ,Awaiting implementation,Banque Islamique de Developpement,Fonds Arabes Multilateraux,Multilateral,Pret projet concessionnel,11/10/2014,Awaiting implementation,Pret, , , ,06 - LOGEMENT ET EQUIPEMENTS COLLECTIFS,063 - Alimentation en eau,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,140 - EAU ET ASSAINISSEMENT,Ministere des Infrastructures Economiques, ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,Eau Potable, , , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , , ,11/10/2014,,,,,, ,National, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35009400,0,0,0,0,0,35009400,0,0,0,0
  Projet d'alimentation en eau potable de la region de Gagnoa,112007136294,, , , ,Ongoing,Gouvernement Français,Cooperation France,Bilateral,Pret projet concessionnel,20/10/2014,Ongoing,Pret, , , ,06 - LOGEMENT ET EQUIPEMENTS COLLECTIFS,063 - Alimentation en eau,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,140 - EAU ET ASSAINISSEMENT,Ministere des Infrastructures Economiques, ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,Eau Potable, , , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , , ,20/10/2014,,,,,,GAGNOA,Sous-Prefecture Level,GoH,GAGNOA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38981920,0,0,0,0,0,38981920,0,0,0,0
  Conversion de dettes pour le projet de conservation durable du Parc National de la Comoe,112007136296,,Totally acquired, , ,Awaiting implementation,KfW,Cooperation Allemagne,Bilateral,Don projet,30/10/2014,Awaiting implementation,Don financier, , , ,05 - PROTECTION DE L'ENVIRONNEMENT,054 - Preservation de la biodiversite et protection de la nature,400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,410 - PROTECTION DE L'ENVIRONNEMENT GENERAL,Ministere des Eaux et Forets, ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,"Environnement, Eaux et Forets",Eaux et Forets, , , , , ,OBJECTIF 7 - Assurer un environnement durable,OBJECTIF 7 - Assurer un environnement durable, , , , , , , ,,,Off Budget, , , ,30/10/2014,,,,,, ,Region Level,BOUKANI,BOUNA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25646000,0,0,0,0,0,25646000,0,0,0,0
  Alimentation en eau potable de la ville d'Abidjan - Phase II,112007136298,,Totally acquired, , ,Awaiting implementation,Eximbank-Chine,Cooperation Chine,Bilateral,Pret projet concessionnel,04/11/2014,Awaiting implementation,Pret, , , ,06 - LOGEMENT ET EQUIPEMENTS COLLECTIFS,063 - Alimentation en eau,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,140 - EAU ET ASSAINISSEMENT,Ministere des Infrastructures Economiques, ,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,RESULTAT4 : LES POPULATIONS VIVENT DANS UN ENVIRONNEMENT SAIN ET UN CADRE DE VIE ADEQUAT,Eau Potable, , , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , , ,04/11/2014,,,,,, ,Region Level,ABIDJAN,ABIDJAN, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94792265.74,0,0,0,0,0,94792265.74,0,0,0,0
  Projet d'Appui a la Production Agricole et a la Commercialisation (PRO-PACOM),cmrx_0108,31%,Totally acquired,"L’objectif de developpement du projet est de contribuer a ameliorer durablement la securite alimentaire et le revenu des populations des zones du projet a travers l’acces des petits producteurs a des services de production efficaces, a des technologies appropriees et aux marches.","Composante 1: Appui a l'amelioration de l'offre de produits agricoles    Composante 2: Valorisation et mise a marches    Composante 3: Coordination, Suivi-Evaluation et Gestion des savoirs",Ongoing," - Beneficiaires
 - Etat
 - Fonds International pour le Developpement Agricole"," - Contribution Beneficiaire
 - Systeme des Nations Unies
 - etat"," - Autre
 - Multilateral
 - etat"," - Don projet
 - Ressources Internes"," - 
 - 16/03/2012",Ongoing," - Don financier
 - Don nature
 - Etat Contrepartie", ,Aucune difficulte majeure relevee., ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,On Budget,819950117, , ,16/03/2012,31/12/2019,30/01/2013,31/12/2019,6,16/03/2012, ,District Level," - BAGOUE
 - BOUKANI
 - GBEKE
 - GONTOUGO
 - HAMBOL
 - PORO
 - TCHOLOGO", ,29196720,0,0,0,0,0,0,0,29196678,0,0,0,0,0,0,3489683.496,6061211.988,0,0,0,0,2657695.549,9153748.035,0,0,0,29196678,6147379.046,15214960.02,0,0
  Projet de rehabilitation et de reduction de la pauvrete (PRAREP),cmrx_0075,72%,Partially acquired,L’objectif principal du Projet est de reduire la pauvrete et l’insecurite alimentaire consecutives au conflit qu’a connu le pays et d’ameliorer les conditions de vie et de travail des communautes rurales les plus vulnerables.,"Composante 1: Rehabilitation agricole ;    Composante 2: Infrastructures rurales    Composante 3: Coordination, Gestion et Suivi-Evaluation",Ongoing," - Banque Ouest Africaine de Developpement
 - Etat
 - Fonds International pour le Developpement Agricole"," - Banque Ouest Africaine de Developpement
 - Systeme des Nations Unies
 - etat"," - Multilateral
 - etat"," - Don projet
 - Pret projet concessionnel
 - Ressources Internes"," - 
 - 21/09/2009
 - 21/12/2009"," - Awaiting signature
 - Ongoing"," - Don financier
 - Etat Contrepartie
 - Pret", ,(n/a),Financement de la BOAD non encore disponible. Financement soumis a la mise a disposition des rapports des differentes etudes commanditees,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,On Budget,824990125,Le projet sera cloture en fin decembre 2014, ,21/12/2009,30/06/2015,,30/06/2015,,21/12/2009, ,National, , ,25031863.71,0,0,0,0,0,0,0,9770566.049,1625643.009,5148060.308,0,0,0,0,4043275.991,5557671.369,0,0,0,0,2818009.514,3242400,0,0,10402542.38,12656386.05,8486928.516,13948131.68,0,0
  Projet de promotion du riz local en Republique de Cote d’Ivoire (PRORIL),112007145081,,Totally acquired,"Le projet vise a augmenter le volume des ventes de riz local dans la zone ciblee (Yamoussoukro, Bouake, Abidjan). De maniere specifique, le projet vise a : Ameliorer la communication entre les acteurs ; Renforcer les competences techniques des producteurs et des usiniers ; Favoriser l'acces des producteurs aux intrants ; Contribuer a l'augmentation de la consommation du riz local dans les centres urbains.",Le projet ne comprend pas de composantes. Il se decline en terme de resultats attendus.,Ongoing," - Agence Japonaise de Cooperation Internationale
 - Etat"," - Cooperation Japon
 - etat"," - Bilateral
 - etat"," - Don projet
 - Ressources Internes",14/10/2013,Ongoing," - Don financier
 - Etat Contrepartie", ,"La part Bailleur est geree par la JICA, aucune information sur les donnees financieres.", ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture,Agence Japonaise de Cooperation Internationale,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,"Les filieres agricoles, halieutiques et animales sont developpees", , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,On Budget,837950701, , ,14/10/2013,13/10/2018,01/02/2014,,,02/01/2014, ,District Level," - ABIDJAN
 - BELIER
 - GBEKE", , ,0,0,0,0,0,0,0,0,0,0,0,0,0,8820000,0,0,0,0,0,0,1838332.39,2100000,0,0,0,8820000,1838332.39,2100000,0,0
  Evaluation d'impact sur la participation aux clubs de post test de VIH et conflits sur le VIH/SIDA et les comportements sexuels reproductifs (ECSR/VIHSIDA),11200713981,,Totally acquired, , ,Closed,Association Internationale de Developpement,Groupe Banque Mondiale,Multilateral,Don projet,20/09/2012,Closed,Don financier, , , ,07 - SANTE,075 - R-D dans le domaine de la sante,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,130 - POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE,"Ministere d'Etat, Ministere du Plan et du Developpement", ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",La lutte contre le VIH/SIDA et les autres problemes prioritaires de sante est renforcee, , , , , , , , , , , , , , ,,,Off Budget, , , ,20/09/2012,31/12/2012,,31/12/2012,,, ,National, , ,98974.732,0,0,0,0,0,0,0,98974.732,0,0,0,0,0,0,44100,44100,0,0,0,0,0,0,0,0,0,98974.732,44100,44100,0,0
  Enquete sur la demande de transport du grand Abidjan,cmrx_0266,,Totally acquired, , ,Ongoing,Agence Japonaise de Cooperation Internationale,Cooperation Japon,Bilateral,Don projet,01/05/0013,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,045 - Transports,200 - INFRASTRUCTURE ET SERVICES eCONOMIQUES,210 - TRANSPORTS ET ENTREPOSAGE,"Ministere d'Etat, Ministere du Plan et du Developpement", ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Infrastructures economiques,Les populations ont un meilleur acces a des services de transport de qualite, , , , , , , , , , , , , , ,,,Off Budget, , , ,01/05/2013,,,,,," - ABIDJAN
 - ANYAMA
 - BINGERVILLE
 - SONGON",Sous-Prefecture Level,ABIDJAN,ABIDJAN,438125.1,0,0,0,0,0,0,0,0,0,0,0,0,0,438125.1,0,0,0,0,0,0,0,0,0,0,0,438125.1,0,0,0,0
  Enquete sur le niveau de vie des menages au niveau local,cmrx_0265,,Totally acquired, , ,Closed,Programme des Nations Unies pour le Developpement,Systeme des Nations Unies,Multilateral,Don projet,02/01/2012,Closed,Don financier, , , ,01 - SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,160 - INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS,"Ministere d'Etat, Ministere du Plan et du Developpement", ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Statistiques, , , , , , , , , , , , , , , ,,,Off Budget, , , ,02/01/2012,,,,,02/01/2012, ,National, , ,134111.407,0,0,0,0,0,0,0,134111.407,52920,52920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134111.407,52920,52920,0,0
  Mise en œuvre du suivi post distribution aupres des personnes deplacees beneficiaires de l'aide alimentaire du PAM en Cote d'Ivoire (PDM),cmrx_0218,,Totally acquired,Mise en œuvre du suivi Post Distribution (PDM) aupres des personnes rapatriees et retournees beneficiaires de l'assistance alimentaire du PAM en Cote d'Ivoire, ,Closed,Programme Alimentaire Mondial,Systeme des Nations Unies,Multilateral,Don projet,10/07/2012,Closed,Don financier, , , ,01 - SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,"011 - Fonctionnement des organes executifs et legislatifs, affaires financieres et fiscales, affaires etrangeres",700 - AIDE HUMAINTAIRE,720 - INTERVENTION D'URGENCE,"Ministere d'Etat, Ministere du Plan et du Developpement", ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Paix et Cohesion Sociale,la paix et la cohesion sociale sont consolidees, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , , ,10/07/2012,,,,,, ,National, , ,47743.5,0,0,0,0,0,0,0,47743.5,0,0,0,0,0,0,38220,38220,0,0,0,0,0,0,0,0,0,47743.5,38220,38220,0,0
  Enquete sur les envois de fonds des travailleurs migrants (EEFTM),cmrx_0264,,Totally acquired,realisation d'une Enquete sur les envois de fonds des travailleurs migrants, ,Closed,Banque Centrale des etats de l'Afrique de l'Ouest,Banque Centrale des Etats de l'Afrique de l'Ouest,Multilateral,Don projet,14/05/2012,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES, ,200 - INFRASTRUCTURE ET SERVICES eCONOMIQUES,240 - BANQUES ET SERVICES FINANCIERS,"Ministere d'Etat, Ministere du Plan et du Developpement", ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT",Population et Migrations, , , , , , , , , , , , , , , ,,,On Budget,xxxxxx, , ,14/05/2012,31/12/2013,,,,, ,National, , ,14473.2,0,0,0,0,0,0,0,14473.2,14473.2,14473.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14473.2,14473.2,14473.2,0,0
  evaluation de la securite alimentaire a l'ouest (ESAO),cmrx_0249,,Totally acquired, , ,Closed,Programme Alimentaire Mondial,Systeme des Nations Unies,Multilateral,Don projet,15/10/2012,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,"Ministere d'Etat, Ministere du Plan et du Developpement", ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,On Budget,kkk, , ,15/10/2012,31/12/2012,,31/12/2012,,, ,District Level," - CAVALLY
 - GUEMON
 - TONKPI", ,42944.842,0,0,0,0,0,0,0,42944.842,0,0,0,0,0,0,42840,42840,0,0,0,0,0,0,0,0,0,42944.842,42840,42840,0,0
  Improving livelihood and resilience of affected population by the post-election crisis in Cote d'Ivoire,cmrx_0230,,Totally acquired, , ,Ongoing,Ambassade Etats Unis d'Amerique,Cooperation etats-Unis,Bilateral,Don projet,,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Paix et Cohesion Sociale, , , , , , , , , , , , , , , ,,,Off Budget, , , ,,,01/06/2012,,,, ,National, , ,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,520799.999,585900,0,0,0,0,0,0,0,0,0,700000,520799.999,585900,0,0
"  Amenagement d'une ville aeroportuaire denommee ""Aerocite"" dans la zone aeroportuaire (3 700 ha)",11200713644,,Funding Search, , ,Planned,Aeroport International Felix Houphouet Boigny d'Abidjan,Partenariat public-prive,Prive,Autres PPP,,Awaiting signature,PPP, , , ,04 - AFFAIRES ECONOMIQUES,045 - Transports,200 - INFRASTRUCTURE ET SERVICES eCONOMIQUES,210 - TRANSPORTS ET ENTREPOSAGE,Ministere du Transport, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Infrastructures economiques,La gouvernance dans le secteur des infrastructures et des services de transport est amelioree, , , , , , , , , , , , , , ,,,Off Budget, , , ,,,,,,,ABIDJAN,Sous-Prefecture Level,ABIDJAN,ABIDJAN,180600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165403524.9,0,0,6930000,0,0,165403524.9,0,0,6930000,0,0
  Construction d'un terminal a conteneurs au port de San Pedro,11200713791,, , ,Construction et equipement d’un nouveau terminal a conteneurs,Planned,Banque Europeenne d'Investissements,Commission Europeennne,Multilateral,Autres PPP,,Awaiting signature,PPP, , , ,04 - AFFAIRES ECONOMIQUES,045 - Transports,200 - INFRASTRUCTURE ET SERVICES eCONOMIQUES,210 - TRANSPORTS ET ENTREPOSAGE,Ministere du Transport, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Infrastructures economiques,Les populations ont un meilleur acces a des services de transport de qualite, , , , , , , , , , , , , , ,,,Off Budget, , ,Intention de financement exprimee par la BEI,,,,,,,SAN-PEDRO,Sous-Prefecture Level,SAN-PEDRO,SAN-PEDRO,281725784.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Projet de Renforcement des Capacites de l'Assemblee Nationale de Cote d'Ivoire (PRCAN),112007131067,0%,Totally acquired,"Renforcer les capacites de la Commission des Affaires economiques et Financieres en vue (i) d'ameliorer la maîtrise du processus budgetaire ; (ii) d'assurer une surveillance plus efficace dudit processus ainsi que des performances des programmes gouvernementaux. Plus generalement, un renforcement de ses capacites dans ses domaines de competences constitutionnelles, legislatives et reglementaires.","COMPOSANTE 1 : Renforcement des capacites operationnelles de la Commission des affaires economiques et financieres   COMPOSANTE 2 : Renforcement des capacites professionnelles individuelles, a travers des echanges avec d&#39;autres parlementaires et des formations",Ongoing,Association Internationale de Developpement,Groupe Banque Mondiale,Multilateral,Don projet,,Awaiting first disbursement,Don financier, ,- Niveau administratif :  - Lourdeur de mise en œuvre du projet dû essentiellement au montage de celui-ci. Le DGDI en assure la gestion fiduciaire et toutes les activites impliquent necessairement la disponibilite soit des membres de la CAEF soit de la Coordination. - Changement du premier Coordonnateur apres le deces de celui-ci (Cf. courrier reference N° 0779/MPMEF/CAB/CS-02 date du 20 fevrier 2014 et signe du Ministre aupres du Premier Ministre charge de l’Economie et des Finances) ; - Niveau technique : RAS  - Niveau financier :  - Demande d’amendement de la 1ere lettre de decaissement qui n’etait pas appropriee a un bon fonctionnement du projet (Cf. courrier reference N° 00113/MEF/DGDI/YM/IDA N° H1040 du 24 juin 2014 et signe par Madame le Coordonnateur et transmis a l’IDA ; - Long delai de la mise en place du compte designe dans le systeme ‘’Client Connection’’ suite a la modification de la lettre de decaissement., ,01 - SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES,013 - Services generaux,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"151 - GOUVERNEMENT ET SOCIETE CIVILE, GENERAL",Assemblee Nationale, ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Gouvernance Administrative et Territoriale, , , , , , , , , , , , , , , ,,,On Budget,XXXXXXX, , ,09/07/2013,09/07/2016,23/01/2014,,36,23/01/2014,ABIDJAN,Sous-Prefecture Level,ABIDJAN,ABIDJAN,496250,0,0,0,0,0,0,0,0,0,0,0,0,0,496250,0,496250,0,0,0,0,0,0,0,0,0,496250,0,496250,0,0
